chimp,Colony,Status,Survey 1,BP 1,Weight 1 (kg),Survey 2,BP 2,Weight 2 (kg),Survey 3,BP 3,Weight 3 (kg)
Abby,Yerkes,Alive,5/23/11,124/60,86.5,7/28/10,108/61,80,5/18/09,167/67,83
Agatha,Yerkes,Alive,8/15/11,121/66,73,2/11/11,132/79,71.5,11/12/19,127/69,73.5
Amanda,Yerkes,Alive,7/25/11,146/78,61.5,12/14/09,137/63,64,5/13/08,138/68,63.5
Anja,Yerkes,Alive,4/6/10,182/110,85,3/19/09,149/90,94,4/22/08,141/67,87
Artemus,Yerkes,Alive,7/27/10,143/65,78,1/25/10,122/62,78.5,2/3/09,138/61,74.5
Arthur,Yerkes,Alive,2/3/09,129/66,79,2/26/07,166/70,78,12/1/05,153/72,83
Azalea,Yerkes,Alive,7/14/11,129/69,74.5,7/14/10,105/87,73.2,8/12/08,149/89,73.5
Barbara,Yerkes,Alive,2/7/11,154/85,54.5,7/28/10,162/99,58,6/17/08,135/76,62
Barbi,Yerkes,Alive,3/23/10,127/71,67,3/24/09,128/70,,,,
Bo,Yerkes,Alive,1/21/11,169/95,55.5,12/15/09,174/97,50.5,7/15/08,207/125,54
Borie,Yerkes,Alive,8/6/09,140/91,55,12/9/08,145/96,57,12/11/07,171/113,56
Brandy,Yerkes,Alive,2/21/11,143/71,71,11/17/09,129/63,71,12/2/08,136/72,77
Brodie,Yerkes,Alive,10/20/11,148/69,71,3/18/11,135/64,84,11/23/09,138/69,76
Callie,Yerkes,Alive,7/11/11,134/65,78.5,1/7/11,130/75,81.5,7/13/10,131/66,86
Carl,Yerkes,Alive,3/3/10,113/54,65,10/26/09,127/69,64.5,4/30/08,136/61,66
Cathy,Yerkes,Alive,10/21/08,171/85,67.5,11/13/07,131/66,67,,,
Chip,Yerkes,Alive,2/8/08,123/65,69.8,,,,,,
Christa,Yerkes,Alive,5/16/11,135/69,62.5,2/11/10,129/66,70,1/6/09,137/63,73.5
Cissie,Yerkes,Alive,6/27/11,121/69,67.5,7/29/10,103/68,64.5,10/7/09,112/74,68
Dara,Yerkes,Alive,7/18/11,143/73,61,3/18/10,111/55,57.5,5/27/07,116/55,55
David,Yerkes,Alive,8/1/11,112/78,71,11/11/10,95/80,69,11/11/09,99/66,66
