chimp,Colony,Status,Survey 1,BP 1,Weight 1 (kg),Survey 2,BP 2,Weight 2 (kg),Survey 3,BP 3,Weight 3 (kg)
Patrick,Yerkes,Alive,7/22/11,139/69,62.5,01/05/2010,129/64,58,9/18/08,200/80,62.5
Peony,Yerkes,Deceased,2/17/09,184/107,73,1/15/08,200/136,75.5,,,
Pericles,Yerkes,Alive,1/27/11,130/63,61.5,05/05/2009,123/62,42,10/22/07,106/52,29
Ranette,Yerkes,Alive,5/18/10,161/106,87,11/17/09,130/87,108,11/14/08,140/90,97.3
Rebecca,Yerkes,Alive,3/21/11,124/75,45,12/10/2009,106/62,47,10/28/08,104/73,42.5
Rita,Yerkes,Alive,03/02/2010,119/75,68.4,2/24/09,123/73,68,,,
Rogger,Yerkes,Alive,12/15/11,130/59,82.5,09/02/2011,113/74,76,7/13/11,139/66,64
Rowena,Yerkes,Alive,9/16/11,138/66,75,2/17/11,135/82,71.5,11/12/2009,127/55,72.5
Sabrina,Yerkes,Alive,10/24/11,126/72,67.5,2/22/11,146/79,75.4,11/19/09,166/76,72.3
Samantha,Yerkes,Alive,10/14/10,116/68,72.5,11/17/09,152/77,74.5,12/18/08,114/45,71
Sara,Yerkes,Deceased,03/11/2010,143/92,47,03/04/2009,147/83,53.5,8/28/07,120/79,54.5
Scott,Yerkes,Alive,4/15/11,108/48,58,10/20/09,90/43,49.5,10/23/08,100/40,50
Shirley,Yerkes,Alive,10/17/11,125/68,69.5,2/14/11,147/81,83,11/06/2009,108/56,79.5
Socrates,Yerkes,Alive,02/12/2008,167/95,,,,,,,
Steward,Yerkes,Alive,10/25/11,140/71,68,02/05/2008,135/46,63.4,,,
Suwanee,Yerkes,Alive,11/23/10,132/66,70,12/21/09,139/77,69.5,10/21/08,149/96,74
Sylvia,Yerkes,Alive,05/02/2011,128/56,63,03/11/2010,129/68,84.5,09/02/2008,123/76,67
Tai,Yerkes,Alive,12/06/2011,142/88,47,5/17/11,143/83,47.5,2/23/10,188/145,48.2
Tara,Yerkes,Alive,2/22/11,128/64,56.5,6/16/09,103/49,55.5,,,
Travis,Yerkes,Alive,04/05/2010,136/78,93,10/20/09,136/74,91.5,6/23/08,148/08,93
Virginia,Yerkes,Alive,11/18/08,154/72,91.9,11/06/2007,143/79,87,,,
Vivienne,Yerkes,Alive,02/01/2011,130/90,65.5,06/09/2009,119/74,62,5/27/08,137/80,61
Waga,Yerkes,Alive,07/01/2009,133/68,76,11/20/07,107/52,79,,,
Wenka,Yerkes,Alive,1/24/11,154/88,53,4/15/08,176/94,51.5,08/01/2006,221/128,44
Winston,Yerkes,Alive,9/15/10,145/86,93,10/19/09,137/77,78.5,10/29/08,141/81,77.5
