chimp,sex,maternity,paternity,momage,parity,bo,rearing, age ,hi,date1,rbc,wbc,hct,hgb,mcv,mch,mchc,lymph,monos,eos,date2,rbc2,wbc2,hct2,hgb2,mcv2,mch2,mchc2,lymp2,mono2,eos2,date3,rbc3,wbc3,hct3,hgb3,mcv3,mch3,mchc3,lymp3,mono3,eos3
Melinda,1,Martha,Juan,12,1,1,1,15,-0.52,21/12/1997,5.14,10600,38,12.6,73.9,24.5,33.2,41,1,7,09/09/1998,4.99,10300,39.6,12.8,79.4,25.7,32.3,23,0,2,28/09/1999,5.05,11200,40.6,12.7,80.4,25.1,31.3,30,2,1
Melissa,1,Tai,Harv,14.42,2,2,2,15.5,00/01/1900,12/03/1997,5.15,10600,44,14.4,85.4,28,32.7,20,1,1,05/03/1998,4.98,8300,41.9,14.3,84.1,28.7,34.1,26,1,3,25/03/1999,4.84,13900,40.2,13.5,83.1,27.9,33.6,14,1,1
Merlin,2,Gay,Rogger,26.08,5,3,2,4.5,0.81,18/09/1997,4.9,8200,40.2,13.8,82,28.2,34.3,46,3,1,05/08/1998,4.79,12900,39.6,13.1,82.7,27.3,33.1,21,1,2,27/09/1999,4.94,8300,41.1,13.7,83.2,27.7,33.3,69,0,1
Merv,2,Halpha,Hep,20.08,3,2,2,21.5,0.8,22/09/1997,5.11,8800,45.2,15.4,88.5,30.1,34.1,35,3,0,16/09/1998,5.07,9600,45.3,15.1,89.3,29.8,33.3,49,0,2,22/09/1999,5.27,13400,46.5,15.3,88.2,29,32.9,27,5,0
Missy,1,Mai,Jimoh,29,8,8,1,3.5,-1,24/01/1997,5.26,9200,41.1,13.4,78.1,25.5,32.6,51,0,1,03/03/1998,5.27,8200,41.4,14.1,78.6,26.8,34.1,54,4,1,30/03/1999,5.69,8600,45.6,15.3,80.1,26.9,33.6,45,4,1
Mortimer,2,Mary,Homer,16.42,2,2,2,20.5,0.34,13/08/1997,5.93,12000,49.3,16.3,83.1,27.5,33.1,37,0,9,07/08/1998,5.75,14100,47.7,16,83,27.8,33.5,12,2,1,31/08/1999,5.85,15900,48.4,15.6,82.7,26.7,32.2,15,6,1
Natasha,1,Mai,Walnut,23,6,6,1,8.5,-0.28,21/11/1996,6.31,14000,49,14.4,77.7,22.8,29.4,16,2,4,17/02/1998,6.06,10500,44.7,14.1,73.8,23.3,31.5,34,5,0,03/02/1999,6.13,11900,48.1,15.3,78.5,25,31.8,18,1,2
Ossabaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,2,Teppi,Zeb,25.68,2,2,2,3.5,0.75,07/01/1997,4.61,8100,37.8,12.4,82,26.9,32.8,48,3,5,21/01/1998,4.72,7000,38.2,12.8,80.9,27.1,33.5,53,3,0,26/01/1999,5.06,8500,41.2,13.7,81.4,27.1,33.3,52,0,2
Peony,1,,,,,,1,29,0.57,03/03/1997,4.58,15900,36.6,12.5,79.9,27.3,34.2,50,2,0,24/03/1998,5.19,10300,42.4,13.8,81.7,26.6,32.5,35,4,0,30/03/1999,5.38,10200,44.6,14.7,82.9,27.3,33,53,4,1
