"","chimp","sex","ageDays","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal","BMI","BPs","BPd"
"31","Alicia",0,10.4383561643836,12200,4.87,41.4,13.9,85,28.5,33.6,0.031,2,1,70,7,0.7,8.1,4,0.1,157,31,19,209,8.9,3,137,3.2,102,4.1,59,24,267,NA,NA,NA
"32","Amanda",0,18.5123287671233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137",63
"33","Amanda",0,20.1232876712329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146",78
"34","Amanda",0,20.1342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.32,NA,NA
"36","Amanda",0,7.58356164383562,7100,5.26,42.5,14.3,80.8,27.2,33.6,0.06,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Amanda",0,8.16438356164384,20400,4.34,34.6,11.5,79.7,26.5,33.2,0.053,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Amanda",0,16.9232876712329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138",68
"39","Amanda",0,6.45479452054794,9400,5.44,43.3,14.6,79.6,26.8,33.7,0.04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Amanda",0,10.5424657534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,9,1,7.5,3.6,0.2,408,26,14,208,9.2,3.4,136,3.5,99,3.9,94,22,270,NA,NA,NA
"41","Amanda",0,9.62191780821918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,8,1,7.1,3.7,0.2,405,29,14,201,10.1,3.7,139,4.3,105,3.4,57,29,276,NA,NA,NA
