chimp,sex,DoB,status,lastDate,,,,,,,,ID,,,,,Abby,,,,,,,,,
Foxy,0,12/10/1967,Alive,09/02/2016,,,,,,,,,,,,,Evelyne,,,,,,,,,
Francisca,0,01/01/1959,Death,12/07/1994,,,,,,,,,,,,,Faye,,,,,,,,,
Frannie,0,10/26/1992,Alive,09/02/2016,,,,,,,,,,,,,Fiona,,,,,,,,,
Fritz,1,7/14/1988,Alive,09/02/2016,,,,,,,,,,,,,Flora,,,,,,,,,
Garbo,0,12/10/1953,Death,15/11/2015,,,,,,,,,,,,,Foxy,,,,,,,,,
Gay,0,01/01/1967,Death,17/08/2011,,,,,,,,,,,,,Francisca,,,,,,,,,
Gelb,1,4/18/1983,Alive,09/02/2016,,,,,,,,,,,,,Frannie,,,,,,,,,
Georgia,0,8/27/1980,Alive,09/02/2016,,,,,,,,,,,,,Fritz,,,,,,,,,
Grayson,1,5/22/1997,Alive,27/03/2016,,,,,,,,,,,,,Garbo,,,,,,,,,
Gwennie,0,01/01/1969,Death,19/01/2010,,,,,,,,,,,,,Gay,,,,,,,,,
Heppie,0,05/08/1969,Death,04/11/2009,,,,,,,,,,,,,Gelb,,,,,,,,,
Hoboh,1,01/01/1959,Death,24/03/2000,,,,,,,,,,,,,Georgia,,,,,,,,,
Hunter,1,08/03/1984,Death,16/07/2007,,,,,,,,,,,,,Grayson,,,,,,,,,
Iyk,1,08/01/1962,Death,25/04/2006,,,,,,,,,,,,,Gwennie,,,,,,,,,
Jacqueline,0,10/16/1976,Alive,09/02/2016,,,,,,,,,,,,,Heppie,,,,,,,,,
Jaimie,0,5/17/1995,Alive,02/11/2016,,,,,,,,,,,,,Hoboh,,,,,,,,,
Jarred,1,9/21/1987,Death,12/02/2010,,,,,,,,,,,,,Hunter,,,,,,,,,
Jeanie,0,01/01/1969,Death,14/12/2005,,,,,,,,,,,,,Iyk,,,,,,,,,
Jenda,0,2/14/1958,Death,15/01/2006,,,,,,,,,,,,,Jacqueline,,,,,,,,,
Jenifere,0,01/01/1963,Death,03/01/2001,,,,,,,,,,,,,Jaimie,,,,,,,,,
Jenny,0,2/24/1940,Death,10/02/1998,,,,,,,,,,,,,Janice,,,,,,,,,
Jesse,0,8/14/1982,Death,17/10/2003,,,,,,,,,,,,,Jarred,,,,,,,,,
Jewelle,0,03/09/1992,Alive,09/02/2016,,,,,,,,,,,,,Jeanie,,,,,,,,,
Jimmy,1,1/21/1977,Death,06/04/2005,,,,,,,,,,,,,Jenda,,,,,,,,,
Jimoh,1,01/01/1964,Death,22/03/2014,,,,,,,,,,,,,Jenifere,,,,,,,,,
Jolson,1,01/10/1993,Alive,18/03/2011,,,,,,,,,,,,,Jenny,,,,,,,,,
Joseph,1,11/25/1980,Alive,22/03/2016,,,,,,,,,,,,,Jesse,,,,,,,,,
Juan,1,2/23/1968,Alive,22/03/2016,,,,,,,,,,,,,Jewelle,,,,,,,,,
Julianne,0,5/15/1998,Alive,09/02/2016,,,,,,,,,,,,,Jimmy,,,,,,,,,
Julie,0,8/29/1994,Alive,09/02/2016,,,,,,,,,,,,,Jimoh,,,,,,,,,
