chimp,sex,DoB,status,lastDate,,,,,,,,,,,,,Abby
Melinda,0,10/30/1982,Death,20/09/2011,,,,,,,,,,,,,Magnum
Melissa,0,6/27/1981,Death,12/10/2015,,,,,,,,,,,,,Mai
Merv,1,1/6/1976,Death,10/12/2012,,,,,,,,,,,,,Marietta
Missy,0,7/8/1993,Alive,9/2/2016,,,,,,,,,,,,,Marilyne
Morgan,1,4/11/1996,Death,10/1/2013,,,,,,,,,,,,,Martha
Mortimer,1,12/20/1976,Death,13/02/2002,,,,,,,,,,,,,Mary
Natasha,0,12/19/1987,Death,23/02/2004,,,,,,,,,,,,,Mason
Ossabaw,1,11/17/1976,Death,9/2/2004,,,,,,,,,,,,,Maverick
Panzee,0,12/31/1985,Death,9/2/2014,,,,,,,,,,,,,Maxine
Patrick,1,7/14/1993,Alive,9/2/2016,,,,,,,,,,,,,Mega
Peony,0,1/1/1968,Death,4/1/2010,,,,,,,,,,,,,Melinda
Phillip,1,4/30/1977,Death,10/6/2002,,,,,,,,,,,,,Melissa
Phineas,1,1/1/1966,Death,7/3/2004,,,,,,,,,,,,,Merlin
Polyanna,0,2/17/1989,Death,13/12/2003,,,,,,,,,,,,,Merv
Puddin,1,12/23/1978,Death,30/11/2010,,,,,,,,,,,,,Missy
Ranette,0,12/17/1987,Alive,22/03/2016,,,,,,,,,,,,,Morgan
Reba,0,11/3/1958,Death,2/1/2003,,,,,,,,,,,,,Mortimer
Rebecca,0,5/20/1991,Alive,22/03/2016,,,,,,,,,,,,,Natasha
Rhett,1,4/20/1989,Death,13/02/2005,,,,,,,,,,,,,Ossabaw
Rogger,1,1/1/1969,Death,17/01/2014,,,,,,,,,,,,,Panzee
Ronald,1,5/4/1988,LTF,27/03/2016,,,,,,,,,,,,,Patrick
Rosemary,0,2/11/1994,LTF,27/03/2016,,,,,,,,,,,,,Peony
Rowena,0,8/13/1988,Alive,22/03/2016,,,,,,,,,,,,,Phillip
Sabrina,0,10/16/1978,Alive,22/03/2016,,,,,,,,,,,,,Phineas
Sam,1,5/19/1982,Alive,30/03/2016,,,,,,,,,,,,,Polyanna
Samantha,0,8/28/1997,Alive,22/03/2016,,,,,,,,,,,,,Puddin
Scott,1,6/23/1987,Alive,22/03/2016,,,,,,,,,,,,,Ranette
Sean,1,3/16/1992,Alive,30/03/2016,,,,,,,,,,,,,Ranette
Sellers,1,12/18/1983,Death,11/6/2001,,,,,,,,,,,,,Reba
Sheena,0,1/20/1989,Alive,27/03/2016,,,,,,,,,,,,,Rebecca
Sheila,0,3/19/1972,Alive,22/03/2016,,,,,,,,,,,,,Reid
Shirley,0,1/11/1985,Alive,22/03/2016,,,,,,,,,,,,,Rhett
Socrates,1,1/23/1987,Death,29/11/2013,,,,,,,,,,,,,Rogger
Sonia,0,11/1/1959,Death,5/6/2001,,,,,,,,,,,,,Ronald
Sparkle,0,1/1/1955,Death,21/11/1995,,,,,,,,,,,,,Rosemary
Storer,1,11/19/1991,Death,27/04/2000,,,,,,,,,,,,,Rowena
Suwanee,0,2/17/1985,Alive,22/03/2016,,,,,,,,,,,,,Rufus
Suzanna,0,2/25/1976,Alive,22/03/2016,,,,,,,,,,,,,Sabrina
Sylvia,0,7/19/1993,Alive,22/03/2016,,,,,,,,,,,,,Sam
Tai,0,1/1/1967,Alive,22/03/2016,,,,,,,,,,,,,Samantha
Tank,1,2/18/1986,Alive,27/03/2016,,,,,,,,,,,,,Scott
Tara,0,9/5/1995,Alive,22/03/2016,,,,,,,,,,,,,Scott
Travis,1,8/2/1989,Alive,22/03/2016,,,,,,,,,,,,,Sean
Vivienne,0,7/27/1974,Alive,22/03/2016,,,,,,,,,,,,,Sellers
Waga,0,3/19/1982,Death,27/12/2012,,,,,,,,,,,,,Sheena
Walnut,1,1/1/1965,Death,22/03/1994,,,,,,,,,,,,,Sheila
Wenka,0,5/21/1954,Alive,22/03/2016,,,,,,,,,,,,,Shirley
Wilma,0,10/27/1988,Death,19/12/2001,,,,,,,,,,,,,Shirley
Wilson,1,3/9/1994,Alive,27/03/2016,,,,,,,,,,,,,Socrates
Winston,1,1/12/1987,Alive,22/03/2016,,,,,,,,,,,,,Sonia
Woodruff,1,7/22/1975,Death,3/9/2009,,,,,,,,,,,,,Sparkle
,,,,,,,,,,,,,,,,,Storer
