popeye-anita,-31,5,3,0,10,18,24,2,0,5
popeye-junon,-4,0,0,0,3,10,8,-3,0,0
popeye-carlos,0,1,0,3,0,2,6,0,3,1
popeye-chico,-5,0,0,7,1,2,6,1,7,0
popeye-manuel,-5,0,0,1,1,5,10,1,1,0
popeye-penny,-46,1,1,2,4,18,41,0,2,1
anita-junon,0,0,2,0,3,1,16,1,0,0
anita-kato,0,0,0,4,4,0,1,4,0,0
anita-carlos,0,0,0,3,3,0,1,3,3,0
anita-chico,-2,0,0,5,3,2,19,3,5,0
anita-manuel,-5,2,1,0,0,4,16,0,0,-2
anita-penny,-20,0,2,1,9,17,35,-1,1,0
junon-kato,0,0,0,2,0,0,1,0,2,0
junon-carlos,-1,0,0,1,0,2,0,0,1,0
junon-chico,-31,1,0,1,1,6,3,1,1,1
junon-manuel,-2,0,0,0,1,1,2,1,0,0
junon-penny,0,0,0,1,3,1,9,-3,-1,0
kato-carlos,0,0,0,0,0,0,0,0,0,0
kato-chico,-1,0,0,0,0,0,12,0,0,0
carlos-chico,-10,0,0,0,0,4,31,0,0,0
carlos-manuel,-2,0,0,0,2,6,13,-2,0,0
carlos-penny,0,0,0,1,1,1,1,-1,-1,0
chico-manuel,-2,0,0,0,4,5,27,-4,0,0
chico-penny,-7,0,0,3,1,5,23,-1,-3,0
manuel-penny,-6,0,0,0,1,11,3,-1,0,0
diablo-lana,-7,1,0,0,10,11,28,4,0,1
diablo-diego,-2,0,0,0,0,3,6,0,0,0
diablo-figo,-6,1,0,5,0,7,9,0,5,1
diablo-micoe,-10,0,0,1,0,13,4,0,1,0
diablo-santi,-8,0,0,1,4,1,22,-2,1,0
diablo-sylvie,-2,1,0,0,1,9,24,-1,0,-1
diablo-inti,-14,1,2,0,0,15,14,0,0,1
lana-diego,-2,0,0,0,0,3,10,0,0,0
lana-figo,-3,0,0,4,3,5,18,-1,4,0
lana-micoe,0,0,0,2,2,1,7,0,2,0
lana-pedra,0,0,0,0,0,0,7,0,0,0
lana-santi,-6,3,2,0,22,22,86,-20,0,1
lana-inti,-5,0,1,3,2,9,28,2,3,0
toka-diego,0,1,0,0,0,3,0,0,0,-1
toka-figo,0,0,0,0,0,0,1,0,0,0
toka-pedra,-6,0,0,1,0,0,0,0,-1,0
diego-figo,-10,1,0,1,0,6,19,0,1,-1
diego-micoe,-22,0,0,3,0,2,11,0,3,0
diego-pedra,0,0,0,0,0,1,5,0,0,0
diego-santi,-4,0,0,0,0,0,12,0,0,0
diego-sylvie,-3,1,0,0,2,2,5,2,0,-1
diego-inti,-22,0,0,2,1,8,20,1,2,0
figo-micoe,-35,3,0,0,0,6,5,0,0,-1
figo-pedra,-12,2,0,0,0,7,14,0,0,-2
figo-santi,-8,0,0,4,0,2,0,0,0,0
figo-sylvie,-1,0,0,0,0,0,1,0,0,0
figo-inti,-34,0,0,3,0,15,15,0,-1,0
micoe-pedra,-2,0,0,0,0,3,18,0,0,0
micoe-santi,-7,0,0,1,1,2,11,-1,-1,0
micoe-sylvie,-5,1,0,0,2,11,20,-2,0,-1
micoe-inti,-25,1,0,0,0,11,31,0,0,-1
pedra-santi,-1,0,0,0,0,2,3,0,0,0
pedra-sylvie,0,0,1,2,0,12,5,0,-2,0
pedra-inti,-6,0,0,0,0,1,3,0,0,0
santi-sylvie,-1,0,0,0,8,2,22,8,0,0
santi-inti,-4,1,0,0,4,8,31,4,0,-1
sylvie-inti,-1,3,0,0,0,2,12,0,0,1
