5.714285714	5.928571429	5.928571429	5.785714286
4.142857143	4.071428571	4	3.642857143
5.214285714	5	5.428571429	5.642857143
5.214285714	5.714285714	5.5	5.071428571
4	3.666666667	5.666666667	4.666666667
4.071428571	3.785714286	4.214285714	3.785714286
5	4	4.666666667	4
6	6.333333333	5.243971631	6
5.333333333	6	6	5.666666667
5.666666667	6	6.333333333	5.333333333
5	5.666666667	4.333333333	5.333333333
4.333333333	5.333333333	4.333333333	4.333333333
4.285714286	4.428571429	4.142857143	4.285714286
5.666666667	5	5.666666667	5
4.666666667	4.333333333	4.666666667	4
3.333333333	3.666666667	4	3
4	3.666666667	4	4
4.666666667	5	5.666666667	5
5	5.333333333	5.666666667	5
5.5	5.785714286	5.714285714	5.714285714
5.428571429	5.5	5.5	4.928571429
3.666666667	4.333333333	4.666666667	2.666666667
4	3.666666667	4	3.666666667
5.333333333	5.333333333	6.666666667	5.666666667
6	6	4	4.666666667
4.333333333	3.666666667	4	3.666666667
2.214285714	2.571428571	3.785714286	2.142857143
2.357142857	2.5	2.785714286	1.928571429
4.071428571	3.857142857	3.785714286	3.285714286
4.214285714	4.785714286	4.142857143	3.571428571
5.285714286	5.428571429	5.642857143	5.357142857
