Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Lashley,2011.01.20,25,16,D,A,D,0,0,2.066667,151.6833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,8,sc.0210,Chamber 4,40,4,2,-,8,12,13,7,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,26,17,A,A,-,1,bl,1.8,159.9167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,6,6,sc.0210,Chamber 4,40,4,2,-,6,15,10,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,27,17,B,B,-,1,bl,1.266667,161.1833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0213,Chamber 4,40,4,2,-,6,15,10,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,28,17,C,C,-,1,bl,1.233333,162.4167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,10,10,sc.0214,Chamber 4,40,4,2,-,6,15,10,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,29,17,D,D,ABCD,1,1,0.3666667,162.7833,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0216,Chamber 4,40,4,2,-,6,15,10,13,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,30,18,A,A,-,1,bl,1.033333,167.6333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,9,sc.0210,Chamber 4,40,4,2,-,9,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,31,18,B,B,-,1,bl,1.483333,169.1167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,10,10,sc.0213,Chamber 4,40,4,2,-,9,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,32,18,C,C,-,1,bl,0.4833333,169.6,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,7,sc.0214,Chamber 4,40,4,2,-,9,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,33,18,D,D,ABCD,1,1,0.4,170,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0216,Chamber 4,40,4,2,-,9,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,34,19,A,A,-,1,bl,1.483333,175.2167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,13,13,sc.0210,Chamber 4,40,4,2,-,13,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,35,19,B,B,-,1,bl,0.95,176.1667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,7,sc.0213,Chamber 4,40,4,2,-,13,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,36,19,C,C,-,1,bl,0.4833333,176.65,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,5,5,sc.0214,Chamber 4,40,4,2,-,13,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,37,19,D,D,ABCD,1,1,0.3666667,177.0167,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0216,Chamber 4,40,4,2,-,13,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,38,20,A,A,-,1,bl,1,181.8333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,0,0,sc.0210,Chamber 4,40,4,2,-,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,39,20,B,B,-,1,bl,0.8,182.6333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,4,4,sc.0213,Chamber 4,40,4,2,-,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,40,20,C,C,-,1,bl,0.9666667,183.6,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,2,2,sc.0214,Chamber 4,40,4,2,-,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,41,20,D,D,ABCD,1,1,0.3666667,183.9667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,15,15,sc.0216,Chamber 4,40,4,2,-,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0
