Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Oberon,2012.02.20,25,17,A,A,-,1,bl,8.533333,297.1167,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,5,5,sc.20420,Chamber 3,40,4,2,-,5,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,26,17,B,B,-,1,bl,1.633333,298.75,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,7,7,sc.20422,Chamber 3,40,4,2,-,5,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,27,17,D,C,ABD,0,0,2.15,300.9,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,14,1,sc.20424,Chamber 3,40,4,2,-,5,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,28,18,A,A,-,1,bl,6.2,314.2,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,13,13,sc.20420,Chamber 3,40,4,2,-,13,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,29,18,B,B,-,1,bl,0.9666667,315.1667,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,12,12,sc.20422,Chamber 3,40,4,2,-,13,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,30,18,C,C,-,1,bl,2.183333,317.35,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,4,4,sc.20424,Chamber 3,40,4,2,-,13,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,31,18,D,D,ABCD,1,1,0.5666667,317.9167,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,8,8,sc.20426,Chamber 3,40,4,2,-,13,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,32,19,A,A,-,1,bl,5.95,327.4667,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,15,15,sc.20420,Chamber 3,40,4,2,-,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,33,19,B,B,-,1,bl,0.4833333,327.95,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,10,10,sc.20422,Chamber 3,40,4,2,-,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,34,19,D,C,ABD,0,0,1.4,329.35,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,0,1,sc.20424,Chamber 3,40,4,2,-,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
