Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Coltrane,2011.01.20,24,16,B,B,-,1,bl,1.383333,1613.3,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,6,6,sc.3475,Chamber 1,40,4,2,-,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,25,16,D,C,ABD,0,0,1.483333,1614.783,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,1,2,sc.3476,Chamber 1,40,4,2,-,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,26,17,A,A,-,1,bl,12.13333,1634.067,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,3,3,sc.3474,Chamber 1,40,4,2,-,3,14,15,8,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,27,17,B,B,-,1,bl,2.216667,1636.283,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,14,14,sc.3475,Chamber 1,40,4,2,-,3,14,15,8,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,28,17,C,C,-,1,bl,1.283333,1637.567,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,15,15,sc.3476,Chamber 1,40,4,2,-,3,14,15,8,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,29,17,D,D,ABCD,1,1,0.8666667,1638.433,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,8,8,sc.3477,Chamber 1,40,4,2,-,3,14,15,8,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,30,18,C,A,C,0,0,4.183333,1646.467,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,2,0,sc.3474,Chamber 1,40,4,2,-,0,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,31,19,A,A,-,1,bl,10.78333,1663.867,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,13,13,sc.3474,Chamber 1,40,4,2,-,13,4,12,7,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,32,19,B,B,-,1,bl,0.9833333,1664.85,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,4,4,sc.3475,Chamber 1,40,4,2,-,13,4,12,7,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,33,19,D,C,ABD,0,0,1.45,1666.3,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,7,12,sc.3476,Chamber 1,40,4,2,-,13,4,12,7,0,0,0,0,0,0,0,0,0,0,0,0
