"","V1","V2"
"1",9,18178.9654107107
"2",10,18181.3677833712
"3",10,18183.9062376973
"4",11,18185.7830799266
"5",10,18185.841811452
"6",10,18186.7066997499
"7",11,18189.1860626001
"8",12,18194.3836264813
