Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList
Ebbinghaus,2012.05.17,1,1,C,A,C,0,0,1.8,5.95,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,2,2,D,A,D,0,0,2.35,15.65,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,3,3,D,A,D,0,0,4.616667,27.16667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,4,4,A,A,-,1,bl,3.65,39.01667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,5,4,C,B,AC,0,0,4.816667,43.81667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,6,5,A,A,-,1,bl,2.45,52.88333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,7,5,D,B,AD,0,0,1.816667,54.7,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,8,6,A,A,-,1,bl,2.033333,63.48333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,9,6,D,B,AD,0,0,1.466667,64.95,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,10,7,A,A,-,1,bl,1.366667,73.01667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,11,7,C,B,AC,0,0,3,76.01667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,12,8,A,A,-,1,bl,1.766667,89.63333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,13,8,B,B,-,1,bl,2.716667,92.35,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,14,8,C,C,-,1,bl,0.9666667,93.31667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,15,8,D,D,ABCD,1,1,0.6,93.91667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,16,9,A,A,-,1,bl,1.383333,99.26667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,17,9,B,B,-,1,bl,3.45,102.7167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,18,9,C,C,-,1,bl,2.516667,105.2333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,19,9,D,D,ABCD,1,1,1.15,106.3833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,20,10,A,A,-,1,bl,1.483333,111.9833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,21,10,C,B,AC,0,0,2.983333,114.9833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,22,11,A,A,-,1,bl,1.15,122.7667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,23,11,C,B,AC,0,0,1.166667,123.9333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,24,12,A,A,-,1,bl,1.183333,131.8167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,25,12,B,B,-,1,bl,3.516667,135.3333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,26,12,C,C,-,1,bl,3.833333,139.1667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,27,12,D,D,ABCD,1,1,1.05,140.2167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,28,13,A,A,-,1,bl,1.483333,145.6167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,29,13,B,B,-,1,bl,3.85,149.4667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,30,13,C,C,-,1,bl,0.7833333,150.25,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,31,13,D,D,ABCD,1,1,0.75,151,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,32,14,A,A,-,1,bl,1.016667,155.8,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,33,14,C,B,AC,0,0,2.066667,157.8667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,34,15,A,A,-,1,bl,1.3,165.8833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,35,15,B,B,-,1,bl,3.266667,169.15,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,36,15,D,C,ABD,0,0,1.916667,171.0667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,37,16,A,A,-,1,bl,1,178.9333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,38,16,B,B,-,1,bl,1.6,180.5333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,39,16,C,C,-,1,bl,1.5,182.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,40,16,D,D,ABCD,1,1,0.5833333,182.6167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,41,17,A,A,-,1,bl,1.116667,187.6333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,42,17,B,B,-,1,bl,2.3,189.9167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,43,17,C,C,-,1,bl,1.483333,191.4,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,44,17,D,D,ABCD,1,1,0.45,191.85,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,45,18,A,A,-,1,bl,1.1,196.7167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,46,18,B,B,-,1,bl,3.15,199.8667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,47,18,C,C,-,1,bl,0.7666667,200.6333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,48,18,D,D,ABCD,1,1,0.45,201.0833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,49,19,A,A,-,1,bl,1.133333,206.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,50,19,B,B,-,1,bl,3.333333,209.3667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,51,19,C,C,-,1,bl,1.15,210.5167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,52,19,D,D,ABCD,1,1,0.8833333,211.4,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,53,20,A,A,-,1,bl,1.25,217.0167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,54,20,B,B,-,1,bl,2.166667,219.1833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,55,20,C,C,-,1,bl,0.5166667,219.7,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,56,20,D,D,ABCD,1,1,0.45,220.15,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,57,21,A,A,-,1,bl,1.316667,225.8167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,58,21,B,B,-,1,bl,1.216667,227.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,59,21,C,C,-,1,bl,0.9,227.9333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,60,21,D,D,ABCD,1,1,0.4833333,228.4167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,61,22,A,A,-,1,bl,1.55,233.6833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,62,22,B,B,-,1,bl,1.233333,234.9167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,63,22,C,C,-,1,bl,0.9333333,235.85,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,64,22,D,D,ABCD,1,1,0.3833333,236.2333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,65,23,A,A,-,1,bl,2.033333,242.3333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,66,23,B,B,-,1,bl,1.333333,243.6667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,67,23,C,C,-,1,bl,1.016667,244.6833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,68,23,D,D,ABCD,1,1,0.35,245.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,69,24,A,A,-,1,bl,1.833333,250.7667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,70,24,B,B,-,1,bl,1.416667,252.1833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,71,24,C,C,-,1,bl,1.483333,253.6667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,72,24,D,D,ABCD,1,1,0.3666667,254.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,73,25,A,A,-,1,bl,1.416667,259.8,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,74,25,B,B,-,1,bl,1.583333,261.4,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,75,25,C,C,-,1,bl,1.2,262.5833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,76,25,D,D,ABCD,1,1,0.45,263.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,77,26,A,A,-,1,bl,1.35,268.45,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,78,26,B,B,-,1,bl,1.016667,269.4667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,79,26,C,C,-,1,bl,0.85,270.3167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,80,26,D,D,ABCD,1,1,0.4,270.7167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,81,27,A,A,-,1,bl,1.3,276.7333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,82,27,C,B,AC,0,0,0.8666667,277.6,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,83,28,A,A,-,1,bl,1.216667,285.7833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,84,28,B,B,-,1,bl,1.65,287.4333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,85,28,C,C,-,1,bl,0.8,288.2333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,86,28,D,D,ABCD,1,1,0.3833333,288.6167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,87,29,A,A,-,1,bl,1.683333,294.3333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,88,29,B,B,-,1,bl,1.266667,295.6,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,89,29,C,C,-,1,bl,1,296.6,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,90,29,D,D,ABCD,1,1,0.45,297.05,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,91,30,A,A,-,1,bl,1.866667,303.4,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,92,30,B,B,-,1,bl,1.666667,305.0667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,93,30,C,C,-,1,bl,0.9,305.9667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,94,30,D,D,ABCD,1,1,0.4166667,306.3833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,95,31,A,A,-,1,bl,1,311.7833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,96,31,B,B,-,1,bl,1.25,313.0333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,97,31,C,C,-,1,bl,0.8,313.8333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,98,31,D,D,ABCD,1,1,0.3666667,314.2,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,99,32,B,A,B,0,0,2.4,320.5,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,100,33,A,A,-,1,bl,2.05,330.1,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,101,33,B,B,-,1,bl,1.633333,331.7333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,102,33,C,C,-,1,bl,0.95,332.6833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,103,33,D,D,ABCD,1,1,0.4333333,333.1167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,104,34,A,A,-,1,bl,1.683333,338.7167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,105,34,B,B,-,1,bl,0.9833333,339.6833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,106,34,C,C,-,1,bl,1.35,341.0333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,107,34,D,D,ABCD,1,1,0.35,341.3833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,108,35,A,A,-,1,bl,1.966667,347.7667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,109,35,B,B,-,1,bl,0.8833333,348.65,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,110,35,D,C,ABD,0,0,1.666667,350.3333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,111,36,A,A,-,1,bl,1.483333,358.5333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,112,36,B,B,-,1,bl,0.9833333,359.5167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,113,36,C,C,-,1,bl,1.4,360.9167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,114,36,D,D,ABCD,1,1,0.4833333,361.4,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,115,37,A,A,-,1,bl,1.116667,367.2,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,116,37,B,B,-,1,bl,1.733333,368.9333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,117,37,C,C,-,1,bl,1.216667,370.15,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,118,37,D,D,ABCD,1,1,0.4666667,370.6333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,119,38,A,A,-,1,bl,1.266667,375.8167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,120,38,B,B,-,1,bl,0.95,376.7667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,121,38,C,C,-,1,bl,0.85,377.6167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,122,38,D,D,ABCD,1,1,0.3666667,377.9833,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,123,39,A,A,-,1,bl,1.5,384.3167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,124,39,B,B,-,1,bl,1.233333,385.55,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,125,39,C,C,-,1,bl,0.7,386.25,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,126,39,D,D,ABCD,1,1,0.4,386.65,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,127,40,A,A,-,1,bl,1.516667,392.3333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,128,40,B,B,-,1,bl,1.183333,393.5167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,129,40,C,C,-,1,bl,1.216667,394.7333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,130,40,D,D,ABCD,1,1,0.35,395.0833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.06.05,1,1,B,A,B,0,0,2.4,5.716667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,2,2,B,A,B,0,0,4.783333,17.18333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,3,3,D,A,D,0,0,2.183333,26.31667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,4,4,B,A,B,0,0,2.933333,36.05,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,5,5,A,A,-,1,bl,3.233333,48.13333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,6,5,B,B,-,1,bl,1.366667,49.48333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,7,5,C,C,-,1,bl,2.516667,52,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,8,5,D,D,ABCD,1,1,0.6833333,52.68333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,9,6,C,A,C,0,0,4.066667,60.96667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,10,7,D,A,D,0,0,3.45,71.1,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,11,8,A,A,-,1,bl,4.5,82.26667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,12,8,C,B,AC,0,0,0.9333333,83.2,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,13,9,D,A,D,0,0,2.316667,92.28333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,14,10,A,A,-,1,bl,2.833333,101.8,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,15,10,B,B,-,1,bl,1.3,103.1,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,16,10,D,C,ABD,0,0,0.6166667,103.7167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,17,11,A,A,-,1,bl,1.8,112.3,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,18,11,B,B,-,1,bl,1.35,113.65,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,19,11,D,C,ABD,0,0,2.066667,115.7167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,20,12,A,A,-,1,bl,1.4,123.8,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,21,12,B,B,-,1,bl,1.333333,125.1333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,22,12,D,C,ABD,0,0,1.616667,126.75,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,23,13,A,A,-,1,bl,0.7833333,134.05,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,24,13,B,B,-,1,bl,0.9166667,134.9667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,25,13,D,C,ABD,0,0,1.8,136.7667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,26,14,A,A,-,1,bl,1.183333,144.7333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,27,14,B,B,-,1,bl,0.8166667,145.55,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,28,14,C,C,-,1,bl,3.2,148.75,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,29,14,D,D,ABCD,1,1,0.5833333,149.3333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,30,15,B,A,B,0,0,1.766667,154.8,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,31,16,A,A,-,1,bl,1.866667,163.4167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,32,16,B,B,-,1,bl,0.8166667,164.2333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,33,16,D,C,ABD,0,0,2.033333,166.2667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,34,17,A,A,-,1,bl,1.766667,175.6333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,35,17,B,B,-,1,bl,0.8833333,176.5167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,36,17,D,C,ABD,0,0,1.1,177.6167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,37,18,A,A,-,1,bl,0.9166667,184.8167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,38,18,B,B,-,1,bl,0.8,185.6167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,39,18,C,C,-,1,bl,1.85,187.4667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,40,18,D,D,ABCD,1,1,1.15,188.6167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,41,19,B,A,B,0,0,2.333333,195.05,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,42,20,A,A,-,1,bl,1.616667,203.3167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,43,20,B,B,-,1,bl,1.116667,204.4333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,44,20,C,C,-,1,bl,4.683333,209.1167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,45,20,D,D,ABCD,1,1,0.8333333,209.95,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,46,21,A,A,-,1,bl,0.9833333,214.75,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,47,21,B,B,-,1,bl,1.433333,216.1833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,48,21,C,C,-,1,bl,2.1,218.2833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,49,21,D,D,ABCD,1,1,0.6666667,218.95,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,50,22,A,A,-,1,bl,1.7,224.5667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,51,22,B,B,-,1,bl,0.65,225.2167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,52,22,C,C,-,1,bl,1.816667,227.0333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,53,22,D,D,ABCD,1,1,0.45,227.4833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,54,23,A,A,-,1,bl,1.933333,233.4833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,55,23,B,B,-,1,bl,0.65,234.1333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,56,23,D,C,ABD,0,0,1.533333,235.6667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,57,24,A,A,-,1,bl,2.333333,244.95,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,58,24,B,B,-,1,bl,0.4833333,245.4333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,59,24,D,C,ABD,0,0,2.533333,247.9667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,60,25,A,A,-,1,bl,1.3,256.0667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,61,25,B,B,-,1,bl,0.9666667,257.0333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,62,25,D,C,ABD,0,0,1.083333,258.1167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,63,26,A,A,-,1,bl,0.7,265.4833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,64,26,B,B,-,1,bl,1.333333,266.8167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,65,26,D,C,ABD,0,0,2.216667,269.0333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,66,27,A,A,-,1,bl,1.883333,277.5333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,67,27,B,B,-,1,bl,0.4833333,278.0167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,68,27,C,C,-,1,bl,1.933333,279.95,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,69,27,D,D,ABCD,1,1,0.75,280.7,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,70,28,A,A,-,1,bl,1.55,286.3833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,71,28,B,B,-,1,bl,0.4,286.7833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,72,28,C,C,-,1,bl,1.066667,287.85,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,73,28,D,D,ABCD,1,1,0.6,288.45,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,74,29,A,A,-,1,bl,2.316667,294.55,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,75,29,B,B,-,1,bl,0.3666667,294.9167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,76,29,C,C,-,1,bl,2.133333,297.05,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,77,29,D,D,ABCD,1,1,0.6166667,297.6667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,78,30,B,A,B,0,0,1.366667,303.0167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,79,31,A,A,-,1,bl,1.45,311.45,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,80,31,B,B,-,1,bl,0.6833333,312.1333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,81,31,D,C,ABD,0,0,0.9333333,313.0667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,82,32,A,A,-,1,bl,1.166667,320.9667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,83,32,B,B,-,1,bl,0.7833333,321.75,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,84,32,C,C,-,1,bl,1.233333,322.9833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,85,32,D,D,ABCD,1,1,0.3666667,323.35,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,86,33,A,A,-,1,bl,1.1,328.65,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,87,33,B,B,-,1,bl,1.25,329.9,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,88,33,C,C,-,1,bl,1.35,331.25,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,89,33,D,D,ABCD,1,1,0.4833333,331.7333,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,90,34,A,A,-,1,bl,1.666667,337.5833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,91,34,B,B,-,1,bl,0.4833333,338.0667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,92,34,C,C,-,1,bl,1,339.0667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,93,34,D,D,ABCD,1,1,0.35,339.4167,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,94,35,A,A,-,1,bl,1.033333,345.15,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,95,35,B,B,-,1,bl,0.8333333,345.9833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,96,35,C,C,-,1,bl,0.6833333,346.6667,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,97,35,D,D,ABCD,1,1,0.5166667,347.1833,06:30,1,20065 20066 20067 20068,4
Ebbinghaus,2012.06.05,98,36,A,A,-,1,bl,1.533333,352.5,06:30,1,20065 20066 20067 20068,4
