"V1" "V2" "V3"
"1" "ACTIVE" "0.735033789505055" "0.368733327336983"
"2" "AFFECTIONATE" "-0.772442063837181" "0.471074743885825"
"3" "AGRESSIVE" "0.784903356697805" "0.360573763559609"
"4" "BULLYING" "0.862920462519749" "0.260230981505405"
"5" "CONVENTIONAL" "-0.200935241514934" "-0.523355478664359"
"6" "COOL" "-0.584192718316607" "-0.543870794795236"
"7" "CURIOUS" "-0.076279615543409" "0.929666199952434"
"8" "DECISIVE" "-0.178938308635411" "0.884219223193574"
"9" "DEFIANT" "0.918618162161946" "0.334079348030214"
"10" "DEPENDENT/FOLLOWER" "-0.417716967960687" "-0.535724159729317"
"11" "DEPRESSED" "-0.633934975098502" "-0.588844060417121"
"12" "DISTRACTIBLE" "0.601050722523426" "-0.0752065513019692"
"13" "DOMINANT" "0.691813306210515" "0.568832690146046"
"14" "ERRATIC" "0.761888751090007" "0.361002943450366"
"15" "EXCITABLE" "0.652983351111717" "0.604304684464615"
"16" "FEARFUL" "0.0778860266103806" "-0.076287200282736"
"17" "FRIENDLY" "-0.834902913375288" "0.369333083366493"
"18" "GENTLE" "-0.941627390278844" "-0.0402919492752296"
"19" "HELPFUL" "-0.791445113534804" "0.316603993270902"
"20" "IMITATIVE" "0.284760139634723" "0.0400722268079063"
"21" "IMPULSIVE" "0.836452317307242" "0.389867996024028"
"22" "INDEPENDENT" "-0.0386991577238" "0.67160595444092"
"23" "INDIVIDUALISTIC" "0.217474488426812" "0.668113742461772"
"24" "INNOVATIVE" "-0.0122362783544866" "0.971214029099132"
"25" "INQUISITIVE" "0.143565435591834" "0.669204668641996"
"26" "INTELLIGENT" "-0.384037087211135" "0.863414245995031"
"27" "INVENTIVE" "-0.152581888195293" "0.836695462887308"
"28" "IRRITABLE" "0.838473877262197" "0.228073152012994"
"29" "JEALOUS" "0.607744797015732" "0.4517383734075"
"30" "LAZY" "-0.609767384321748" "-0.431824624371667"
"31" "MANIPULATIVE" "0.9271862038667" "0.241524629537702"
"32" "PERSISTENT" "0.164698030839185" "0.734336358080152"
"33" "PLAYFUL" "0.308910026276227" "0.798958096602701"
"34" "PREDICTABLE" "-0.22274732120167" "-0.44430201599163"
"35" "PROTECTIVE" "0.370604739060977" "0.557081348479419"
"36" "QUITTING" "0.232500104797575" "-0.730121101286967"
"37" "RECKLESS" "0.757162969059843" "-0.0858792761657718"
"38" "SENSITIVE" "-0.674327764516754" "0.581924949242267"
"39" "SOCIABLE" "-0.305786474876005" "0.685643867512684"
"40" "SOLITARY" "-0.367735192607526" "-0.446280867044422"
"41" "STABLE" "-0.681905731369299" "-0.40363538245049"
"42" "STINGY/GREEDY" "0.337129849568347" "0.700099859737133"
"43" "SUBMISSIVE" "-0.680745303988566" "-0.558699233304856"
"44" "SYMPATHETIC" "-0.735678217798756" "0.469798077772722"
"45" "THOUGHTLESS" "0.846333218433592" "-0.347206234577139"
"46" "TIMID" "-0.241799147973493" "-0.549636087807971"
"47" "UNEMOTIONAL" "-0.407711601558607" "-0.73141882066716"
"48" "VULNERABLE" "-0.184862836712538" "-0.412441176461047"
