Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Augustus,2011.03.09,25,18,B,A,B,0,0,2.15,159.4,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,1,14,sc.1154,Chamber 2,40,4,2,-,14,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,26,19,B,A,B,0,0,0.7333333,169.0833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,14,3,sc.1154,Chamber 2,40,4,2,-,3,14,9,7,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,27,20,B,A,B,0,0,1.066667,176.65,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,15,14,sc.1154,Chamber 2,40,4,2,-,14,15,9,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,28,21,B,A,B,0,0,1.733333,185.3167,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,4,sc.1154,Chamber 2,40,4,2,-,4,12,10,15,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,29,22,B,A,B,0,0,2.25,194.4333,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,2,sc.1154,Chamber 2,40,4,2,-,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,30,23,B,A,B,0,0,1,201.9,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,6,4,sc.1154,Chamber 2,40,4,2,-,4,6,13,12,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,31,24,B,A,B,0,0,1.816667,210.7833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,1,4,sc.1154,Chamber 2,40,4,2,-,4,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,32,25,A,A,-,1,bl,2.1,219.85,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,4,4,sc.1154,Chamber 2,40,4,2,-,4,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,33,25,B,B,-,1,bl,0.8833333,220.7333,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,0,0,sc.1155,Chamber 2,40,4,2,-,4,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,34,25,C,C,-,1,bl,0.4333333,221.1667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,2,2,sc.1157,Chamber 2,40,4,2,-,4,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,35,25,D,D,ABCD,1,1,0.5333333,221.7,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,11,11,sc.1159,Chamber 2,40,4,2,-,4,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,36,26,B,A,B,0,0,2.25,227.8333,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,7,sc.1154,Chamber 2,40,4,2,-,7,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,37,27,B,A,B,0,0,1.6,235.6833,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,0,14,sc.1154,Chamber 2,40,4,2,-,14,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0
