"","DG1","DG2","PRF_dominance","prestige10","dominance10","leadership10","soc_reg","power","prestige6","dominance6","leadership6","prestige4","dominance4","leadership4","gender","age"
"149",150,150,80,33,21,56,38,39,20,10,34,12,7,23,"female","54"
"151",100,0,60,46,18,39,61,34,30,10,25,21,7,17,"female","19"
"153",150,150,64,34,30,45,44,31,20,19,28,14,12,19,"female","36"
"154",180,200,53,43,26,40,52,33,24,16,25,15,9,17,"female","35"
"155",100,100,71,46,32,48,63,48,28,18,29,18,11,20,"female","31"
"156",0,0,54,27,15,38,35,22,17,7,22,14,4,14,"male","43"
"157",0,0,54,31,30,32,55,30,20,17,20,15,12,13,"male","21"
"158",110,10,64,30,31,35,51,41,20,17,21,13,9,13,"male","26"
"159",150,150,49,53,27,25,61,30,34,19,13,24,9,10,"male","35"
"160",120,100,62,50,25,48,64,42,30,15,29,20,10,19,"male","22"
"162",30,20,64,52,31,48,55,51,32,17,27,22,7,20,"male","34"
"163",0,0,63,35,42,43,46,40,17,25,25,11,15,16,"male","22"
"164",150,0,71,41,38,46,59,48,24,21,25,15,14,19,"male","28"
"165",50,0,33,39,30,20,52,26,21,21,11,13,14,8,"male","21"
"167",10,10,25,39,16,12,46,13,21,8,7,14,5,5,"female","26"
"168",150,0,82,57,33,59,67,49,33,18,35,21,10,23,"female","25"
"170",100,0,57,39,33,41,52,43,26,19,25,19,13,18,"female","25"
"171",150,150,52,32,28,29,47,23,21,18,18,14,12,13,"male","27"
"172",150,150,78,50,45,52,52,50,32,25,31,21,17,21,"female","40"
"173",10,10,82,49,40,56,75,50,26,25,35,17,15,24,"male","25"
"175",50,0,68,50,37,46,65,44,29,23,28,20,13,18,"male","26"
"176",20,0,62,38,36,37,56,39,23,22,22,15,14,14,"male","27"
"177",40,40,58,41,37,38,55,45,26,22,21,18,14,13,"male","21"
"179",140,20,56,38,24,39,48,31,20,17,23,12,12,15,"female","18"
"180",150,150,85,44,43,54,59,56,25,25,31,17,14,19,"male","28"
"181",150,0,66,56,25,51,79,51,34,15,31,22,7,21,"female","23"
"183",0,0,69,30,41,49,28,52,17,25,30,11,17,19,"female","41"
"184",90,100,49,37,17,42,53,30,24,7,26,13,5,19,"female","58"
"185",100,0,53,36,38,33,54,34,17,24,19,10,15,13,"male","23"
"186",0,0,36,35,33,13,48,19,21,21,7,12,15,5,"female","22"
"188",20,0,52,47,27,29,56,27,26,16,16,16,7,12,"male","20"
"189",110,0,57,57,27,47,41,39,35,19,28,24,10,19,"male","21"
"190",150,50,24,40,14,15,51,13,24,8,10,16,6,6,"female","27"
"191",30,0,69,42,38,42,41,41,25,24,26,15,18,19,"male","25"
"192",150,150,39,44,24,21,65,22,27,13,12,19,8,8,"male","18"
"194",150,100,44,30,22,32,57,25,17,12,21,10,6,15,"female","34"
"195",10,0,37,31,13,27,42,21,16,7,14,12,4,9,"female","46"
"196",100,0,32,28,35,18,28,22,17,24,9,10,14,6,"male","26"
"197",70,70,55,58,52,43,52,51,35,34,24,24,23,17,"male","30"
"199",150,100,53,23,20,36,41,26,13,13,22,9,6,15,"female","51"
"200",150,50,89,60,48,59,84,58,36,27,35,24,18,24,"male","23"
"201",100,50,50,31,20,32,45,24,16,12,20,9,7,13,"female","48"
"203",150,150,50,23,29,28,39,28,15,17,18,9,10,12,"male","33"
"205",150,150,53,23,26,33,37,26,15,14,20,9,9,13,"male","34"
"207",0,0,57,36,35,37,47,36,22,21,23,14,13,16,"male","38"
"208",50,0,52,33,25,33,40,27,20,14,19,12,9,13,"male","25"
"209",300,300,56,41,17,40,52,33,25,9,25,17,5,16,"male","27"
"211",50,50,60,42,30,34,42,36,25,18,23,17,10,17,"female","23"
"217",0,0,59,46,35,37,51,34,27,21,23,17,13,15,"male","37"
"219",100,20,48,47,41,37,48,43,28,26,21,18,17,16,"male","21"
"220",100,20,57,44,26,36,57,35,27,16,20,18,9,14,"female","18"
"221",0,0,49,37,34,29,41,28,22,22,18,13,14,12,"female","54"
"225",150,0,64,44,20,43,72,32,24,11,25,16,6,17,"female","29"
"226",10,0,60,38,29,40,56,38,22,17,25,15,11,17,"female","25"
"227",140,140,45,42,26,27,56,27,26,17,17,16,11,11,"male","26"
"228",50,10,54,48,25,34,55,34,28,15,22,18,8,14,"female","21"
"231",150,150,47,25,22,41,36,27,14,13,24,9,7,16,"male","25"
"232",150,100,52,31,25,25,51,27,19,15,16,12,9,11,"male","32"
