"lhs" "op" "rhs" "est" "se" "z" "pvalue" "ci.lower" "ci.upper"
"60" "income55" "~~" "income55" 0.610338612031623 0.0217975480021741 28.0003334306568 0 0.567616202996079 0.653061021067167
"61" "bm.i" "~~" "bm.i" 8.83540006732164 0.430991256955563 20.5001839938313 0 7.99067272603709 9.68012740860619
"62" "bm.s" "~~" "bm.s" 5.10346483062305 0.4770717027274 10.6974796481257 0 4.16842147523414 6.03850818601195
"63" "bm.q" "~~" "bm.q" 0.264953807220991 0.0450275224855264 5.88426350364173 3.99830391017986e-09 0.176701484836291 0.35320612960569
"64" "inc.i" "~~" "inc.i" 0.184865719579502 0.0395890029814914 4.66962301793582 3.01752959019908e-06 0.10727269955193 0.262458739607074
"65" "inc.s" "~~" "inc.s" 0.328624543874163 0.0500014466362089 6.57230072291923 4.95437024738976e-11 0.230623509292292 0.426625578456034
"66" "inc.q" "~~" "inc.q" 0.0214728378597107 0.00364633679973093 5.88887945328998 3.88822929409116e-09 0.014326149056735 0.0286195266626863
"67" "inc.i" "~~" "inc.s" -0.0371171355712276 0.0406491620982431 -0.913109487509752 0.361184961001685 -0.116788029285515 0.0425537581430595
"68" "inc.i" "~~" "inc.q" 0.00171028377804969 0.00960212966364934 0.17811504717795 0.858632625046685 -0.0171095445375867 0.0205301120936861
"69" "inc.s" "~~" "inc.q" -0.0803259624989494 0.0130028644872338 -6.17755899692822 6.51002585172478e-10 -0.105811108589782 -0.0548408164081163
"70" "bm.i" "~~" "bm.s" 0.590242173582281 0.405598437573953 1.45523778916101 0.14560344256394 -0.204716156248384 1.38520050341295
"71" "bm.i" "~~" "bm.q" -0.116447010124853 0.0930690662424916 -1.25118919557493 0.210865459182593 -0.298859028034909 0.0659650077852031
"72" "bm.s" "~~" "bm.q" -0.987445614383791 0.113888878213497 -8.6702549877848 0 -1.21066371392191 -0.764227514845667
"73" "sex" "~~" "sex" 0.249956629701828 0 NA NA 0.249956629701828 0.249956629701828
"74" "sex" "~~" "g" 0.0321256533893709 0 NA NA 0.0321256533893709 0.0321256533893709
"75" "sex" "~~" "lvIQsex" 0.0322684600503609 0 NA NA 0.0322684600503609 0.0322684600503609
"76" "sex" "~~" "Youth_SES" -0.00435351379591709 0 NA NA -0.00435351379591709 -0.00435351379591709
"77" "sex" "~~" "education" -0.00886729072423662 0 NA NA -0.00886729072423662 -0.00886729072423662
"78" "g" "~~" "g" 0.935665432120253 0 NA NA 0.935665432120253 0.935665432120253
"79" "g" "~~" "lvIQsex" 0.457703946751824 0 NA NA 0.457703946751824 0.457703946751824
"80" "g" "~~" "Youth_SES" 0.371703604532036 0 NA NA 0.371703604532036 0.371703604532036
"81" "g" "~~" "education" 0.400205215182591 0 NA NA 0.400205215182591 0.400205215182591
"82" "lvIQsex" "~~" "lvIQsex" 0.457722382554229 0 NA NA 0.457722382554229 0.457722382554229
"83" "lvIQsex" "~~" "Youth_SES" 0.197617865838169 0 NA NA 0.197617865838169 0.197617865838169
"84" "lvIQsex" "~~" "education" 0.181649231907335 0 NA NA 0.181649231907335 0.181649231907335
"85" "Youth_SES" "~~" "Youth_SES" 0.968235520056514 0 NA NA 0.968235520056514 0.968235520056514
"86" "Youth_SES" "~~" "education" 0.417241186972272 0 NA NA 0.417241186972272 0.417241186972272
"87" "education" "~~" "education" 0.973948614579605 0 NA NA 0.973948614579605 0.973948614579605
"88" "bmi23" "~1" "" 0 0 NA NA 0 0
"89" "bmi33" "~1" "" 0 0 NA NA 0 0
"90" "bmi42" "~1" "" 0 0 NA NA 0 0
"91" "bmi55" "~1" "" 0 0 NA NA 0 0
"92" "income23" "~1" "" 0 0 NA NA 0 0
"93" "income33" "~1" "" 0 0 NA NA 0 0
"94" "income42" "~1" "" 0 0 NA NA 0 0
"95" "income50" "~1" "" 0 0 NA NA 0 0
"96" "income55" "~1" "" 0 0 NA NA 0 0
"97" "sex" "~1" "" 1.50658561296859 0 NA NA 1.50658561296859 1.50658561296859
"98" "g" "~1" "" 0.0656801961798135 0 NA NA 0.0656801961798135 0.0656801961798135
"99" "lvIQsex" "~1" "" 0.0653982958310193 0 NA NA 0.0653982958310193 0.0653982958310193
"100" "Youth_SES" "~1" "" 0.0258963551905869 0 NA NA 0.0258963551905869 0.0258963551905869
"101" "education" "~1" "" -0.00614016497344609 0 NA NA -0.00614016497344609 -0.00614016497344609
"102" "bm.i" "~1" "" 23.835627971533 0.120383039304547 197.998223912866 0 23.5996815501466 24.0715743929194
"103" "bm.s" "~1" "" 2.86143553311708 0.128730256363052 22.2281506613884 0 2.60912886692489 3.11374219930927
"104" "bm.q" "~1" "" -0.452717146919454 0.0407863675460793 -11.0997172378243 0 -0.532656958369983 -0.372777335468925
"105" "inc.i" "~1" "" 0.0484040934419998 0.0121413567577928 3.98671206254873 6.69952484537717e-05 0.0246074714732741 0.0722007154107256
"106" "inc.s" "~1" "" -0.030532848202811 0.0163724339794634 -1.86489365241048 0.0621963123609093 -0.0626222291418191 0.0015565327361971
"107" "inc.q" "~1" "" 0.000814617103919825 0.00475474385888059 0.171327231938759 0.863966469031554 -0.00850450961519912 0.0101337438230388
