Chimp,Q day,Q month,Q year,dob day,dob month,dob year
Tico,19,4,2015,1,1,1985
Tico,13,4,2015,1,1,1985
Tico,27,4,2015,1,1,1985
Tico,15,4,2015,1,1,1985
Tico,19,4,2015,1,1,1985
Tico,4,5,2015,1,1,1985
Tico,21,4,2015,1,1,1985
Tom,15,4,2015,1,1,2000
Tom,26,6,2015,1,1,2000
Tom,15,4,2015,1,1,2000
Tom,20,4,2015,1,1,2000
Tom,15,4,2015,1,1,2000
Tom,20,4,2015,1,1,2000
Tom,16,4,2015,1,1,2000
Tom,19,4,2015,1,1,2000
Tom,13,4,2015,1,1,2000
Tom,27,4,2015,1,1,2000
Tom,15,4,2015,1,1,2000
Tom,19,4,2015,1,1,2000
Tom,4,5,2015,1,1,2000
Tom,21,4,2015,1,1,2000
Toni,15,4,2015,1,1,1983
Toni,26,6,2015,1,1,1983
Toni,15,4,2015,1,1,1983
Toni,20,4,2015,1,1,1983
Toni,15,4,2015,1,1,1983
Toni,20,4,2015,1,1,1983
Toni,16,4,2015,1,1,1983
Toni,19,4,2015,1,1,1983
Toni,13,4,2015,1,1,1983
Toni,27,4,2015,1,1,1983
Toni,15,4,2015,1,1,1983
Toni,19,4,2015,1,1,1983
Toni,4,5,2015,1,1,1983
Toni,21,4,2015,1,1,1983
Victor,15,4,2015,1,1,1982
Victor,26,6,2015,1,1,1982
Victor,15,4,2015,1,1,1982
Victor,20,4,2015,1,1,1982
Victor,15,4,2015,1,1,1982
Victor,20,4,2015,1,1,1982
Victor,16,4,2015,1,1,1982
Victor,19,4,2015,1,1,1982
Victor,13,4,2015,1,1,1982
Victor,27,4,2015,1,1,1982
Victor,15,4,2015,1,1,1982
Victor,19,4,2015,1,1,1982
Victor,4,5,2015,1,1,1982
Victor,21,4,2015,1,1,1982
Waty,15,4,2015,1,1,1996
Waty,26,6,2015,1,1,1996
Waty,15,4,2015,1,1,1996
Waty,20,4,2015,1,1,1996
Waty,15,4,2015,1,1,1996
Waty,20,4,2015,1,1,1996
Waty,16,4,2015,1,1,1996
Waty,19,4,2015,1,1,1996
Waty,13,4,2015,1,1,1996
Waty,27,4,2015,1,1,1996
Waty,15,4,2015,1,1,1996
Waty,19,4,2015,1,1,1996
Waty,4,5,2015,1,1,1996
Waty,21,4,2015,1,1,1996
