Animal,Rater,Sociable (1),Active (1),Dominant (1),Spontaneous (1),Calm (1),Good-tempered (1),Brave (1),"Happy, cheerful (1)",Not aggressive (1),Cautious (1),Empathic (1),Not creative (1)
Africa,F,7,7,2,7,6,1,5,2,2,6,1,6
Charly,F,6,6,5,5,3,3,3,2,2,4,2,4
Marco,F,6,6,6,5,5,3,2,2,5,5,2,4
Toni,F,5,3,3,5,5,5,3,3,2,5,1,5
Waty,G,6,6,7,6,3,4,4,2,4,4,4,5
Nico,G,6,7,3,4,1,1,2,1,1,3,1,7
Tico,G,1,1,2,5,6,4,3,5,5,2,1,1
Victor,G,7,7,1,3,6,4,2,3,3,4,1,7
Africa,G,6,4,6,5,5,4,3,4,3,1,6,5
Charly,G,7,6,5,2,4,5,2,4,5,3,2,1
Marco,G,7,6,7,6,1,2,1,2,4,6,1,4
Toni,G,4,3,2,1,2,3,2,2,4,1,5,1
Waty,H,5,3,5,4,5,4,3,4,5,4,4,6
Nico,H,5,3,4,4,3,2,4,3,2,3,3,2
Tico,H,3,1,2,2,7,4,7,5,2,4,4,2
Victor,H,5,5,4,4,5,3,5,4,4,5,3,2
Africa,H,6,6,3,5,4,2,5,3,2,6,4,3
Charly,H,6,5,4,4,5,3,3,3,4,4,4,2
Marco,H,6,5,6,4,2,3,2,3,4,4,4,2
Toni,H,5,6,4,6,2,2,5,3,2,5,4,2
Waty,I,5,6,6,6,4,2,2,2,5,5,5,6
Nico,I,5,3,2,4,2,2,4,2,2,3,2,5
Tico,I,3,2,2,2,4,4,5,4,2,2,4,2
Victor,I,5,5,5,4,5,4,5,4,5,3,5,4
Africa,I,6,6,6,6,5,2,5,2,3,3,4,5
Charly,I,5,5,4,4,2,4,4,4,2,4,4,4
Marco,I,5,5,6,4,2,4,4,4,2,3,4,4
Toni,I,5,5,4,5,2,2,3,2,2,3,2,4
Waty,J,5,5,6,4,4,4,2,4,5,5,5,5
Nico,J,5,4,3,4,3,3,4,3,3,3,4,3
Tico,J,1,1,1,1,7,5,7,5,5,3,4,2
Victor,J,6,4,4,5,6,4,6,4,6,6,5,4
Africa,J,6,5,6,5,5,5,2,4,6,6,5,6
Charly,J,5,5,5,4,3,4,5,3,3,4,5,6
Marco,J,5,5,3,3,3,3,4,4,3,3,5,5
Toni,J,5,3,3,3,3,4,5,3,4,3,5,4
Waty,K,6,6,7,7,3,3,1,2,4,6,3,6
Nico,K,6,6,4,7,1,1,1,1,2,7,1,6
Tico,K,2,1,1,1,6,4,5,4,4,1,3,7
Victor,K,7,6,3,2,7,4,4,4,6,6,3,4
Africa,K,6,5,7,6,6,3,4,3,6,7,1,6
Charly,K,6,4,6,6,4,4,5,4,4,5,3,5
Marco,K,6,4,5,4,5,4,5,4,4,3,3,5
Toni,K,4,4,2,3,4,4,5,4,4,2,3,5
Waty,L,6,6,6,5,5,5,5,4,4,2,2,3
Nico,L,7,6,3,7,2,2,1,2,2,4,2,6
Tico,L,2,2,5,4,2,3,2,4,2,2,3,6
Victor,L,6,5,2,3,5,4,6,2,5,6,5,4
Africa,L,2,5,7,2,7,5,6,5,5,6,5,3
Charly,L,7,3,2,4,2,2,6,2,2,4,2,6
Marco,L,6,5,6,2,2,4,2,4,5,2,2,4
Toni,L,6,6,2,2,2,2,3,2,2,2,4,4
Waty,M,5,4,6,6,4,4,1,3,4,5,3,6
Nico,M,5,3,3,3,3,3,4,3,3,4,3,3
Tico,M,2,3,3,3,5,4,5,5,3,3,4,4
Victor,M,5,3,3,3,5,4,5,4,3,3,3,3
Africa,M,5,5,5,5,5,4,3,4,5,5,4,5
Charly,M,5,5,5,5,4,3,3,3,4,5,3,4
Marco,M,4,4,4,4,3,3,4,4,3,3,4,5
Toni,M,3,3,2,3,3,4,5,4,3,3,3,4
Waty,N,6,6,6,6,6,6,5,5,3,3,2,4
Nico,N,7,6,2,6,1,1,5,1,1,2,1,6
Tico,N,1,2,2,2,7,5,6,6,3,6,3,4
Victor,N,6,5,5,5,3,2,6,6,3,3,2,4
Africa,N,5,2,5,5,6,6,3,5,3,6,3,4
Charly,N,6,6,5,6,2,2,2,2,2,2,2,6
Marco,N,6,6,6,6,2,2,2,2,2,2,2,4
Toni,N,5,2,2,6,2,3,6,6,2,2,3,5
Waty,O,3,5,5,3,3,5,3,5,4,5,4,4
Nico,O,7,5,1,7,1,1,3,1,1,5,1,4
Tico,O,1,1,1,1,6,5,7,6,2,2,4,2
Victor,O,6,5,2,5,5,3,5,3,3,5,3,4
Africa,O,6,6,3,6,4,2,3,2,2,5,3,5
Charly,O,4,3,3,3,3,5,4,4,3,3,4,4
Marco,O,4,5,5,4,3,4,4,4,3,3,4,4
Toni,O,7,7,2,6,3,2,3,2,2,5,3,5
Waty,P,6,6,7,4,5,5,2,3,4,5,3,4
Nico,P,7,5,3,6,4,2,3,3,2,3,1,6
Tico,P,1,1,1,2,7,4,7,6,4,1,4,4
Victor,P,4,4,1,3,6,3,7,4,4,4,2,4
Africa,P,7,6,6,6,6,4,2,3,5,5,3,4
Charly,P,5,5,4,4,3,3,4,3,3,3,3,4
Marco,P,5,5,5,4,3,3,2,3,3,3,3,4
Toni,P,5,4,3,4,3,4,4,3,3,3,3,4
Waty,Q,6,6,6,5,2,3,2,3,3,6,3,6
Nico,Q,5,2,1,6,1,2,7,3,1,1,2,6
Tico,Q,1,1,1,1,7,6,6,6,4,5,5,3
Victor,Q,6,5,2,6,5,3,6,3,2,3,2,6
Africa,Q,5,5,3,6,6,4,5,4,5,6,3,3
Charly,Q,6,6,2,6,2,2,5,2,2,2,1,6
Marco,Q,6,6,6,5,2,2,2,2,2,2,2,6
Toni,Q,3,3,5,2,6,5,5,3,2,2,2,5
Waty,R,4,6,6,6,6,5,2,3,5,5,4,6
Nico,R,7,5,1,4,2,1,5,2,2,2,1,6
Tico,R,2,1,2,2,4,4,6,5,2,1,2,6
Victor,R,3,2,4,3,6,5,6,5,2,4,6,4
Africa,R,6,6,5,5,2,4,6,3,5,5,5,4
Charly,R,6,6,5,4,3,3,6,4,4,3,3,3
Marco,R,6,5,7,6,5,3,1,4,4,5,3,4
Toni,R,7,3,2,2,2,3,7,2,2,2,2,2
Waty,S,6,4,6,4,5,3,1,4,5,5,4,5
Nico,S,6,4,4,5,3,3,4,3,3,5,3,5
Tico,S,2,2,2,3,4,4,5,4,3,4,4,4
Victor,S,3,4,2,5,3,3,4,3,3,5,4,4
Africa,S,7,6,4,7,5,2,2,2,5,5,3,5
Charly,S,6,5,3,4,2,2,4,2,2,5,4,4
Marco,S,2,5,6,2,1,4,2,4,2,2,4,6
Toni,S,7,6,3,6,1,1,3,1,3,3,4,4
Waty,T,6,5,6,4,5,6,2,4,6,6,2,6
Nico,T,3,3,2,7,1,1,1,2,2,5,3,6
Tico,T,1,1,1,2,6,2,7,7,3,1,4,6
Victor,T,6,6,2,2,7,6,6,6,7,7,7,5
Africa,T,6,5,6,5,6,6,1,2,5,5,4,6
Charly,T,7,7,5,6,2,1,2,2,2,2,2,5
Marco,T,6,6,6,5,2,3,1,4,6,4,1,6
Toni,T,3,3,2,2,2,6,6,5,2,1,4,4
Waty,U,5,6,6,6,3,5,1,2,4,5,4,6
Nico,U,6,6,2,6,2,1,2,1,1,5,2,6
Tico,U,2,2,2,2,2,4,7,7,3,2,4,6
Victor,U,5,5,2,5,5,4,5,5,5,3,4,3
Africa,U,6,6,5,5,5,2,3,3,4,5,3,6
Charly,U,6,6,3,5,3,3,3,3,3,3,3,5
Marco,U,5,6,7,5,2,3,2,3,3,3,4,5
Toni,U,7,6,1,5,3,2,6,3,2,3,2,5
Waty,V,6,6,4,6,7,4,4,4,5,6,6,6
Nico,V,7,5,2,4,2,1,1,1,2,4,3,3
Tico,V,1,3,1,4,4,3,4,4,5,5,7,4
Victor,V,2,3,2,3,4,4,4,5,6,5,6,3
Africa,V,6,6,6,6,7,4,4,4,5,6,6,6
Charly,V,3,4,2,3,4,4,7,5,5,3,4,6
Marco,V,6,6,7,4,4,4,3,3,3,3,3,5
Toni,V,7,7,2,4,7,6,6,6,3,3,4,4
Waty,W,6,6,7,5,3,3,1,3,3,4,2,4
Nico,W,6,5,1,6,1,1,2,1,1,1,1,4
Tico,W,1,1,1,1,2,4,6,4,1,1,4,4
Victor,W,3,5,1,1,7,4,7,6,1,1,2,4
Africa,W,7,6,6,7,5,3,1,3,6,6,4,4
Charly,W,7,7,6,6,2,1,1,1,2,2,1,4
Marco,W,7,7,7,7,1,1,1,2,2,1,1,4
Toni,W,7,7,6,6,2,2,1,2,2,3,2,4
Waty,XX,6,6,5,2,5,6,2,3,5,4,4,5
Nico,XX,7,6,2,6,2,2,4,2,2,4,3,5
Tico,XX,1,2,2,2,2,2,6,4,2,2,4,4
Victor,XX,5,5,3,4,6,4,5,4,5,4,2,4
Africa,XX,7,6,3,7,6,3,4,2,6,7,4,4
Charly,XX,6,6,5,4,1,2,2,2,2,2,4,4
Marco,XX,6,6,7,4,5,2,1,2,2,4,4,4
Toni,XX,3,3,1,4,6,6,5,3,5,5,4,4
Waty,YY,4,6,6,6,6,5,4,4,5,6,3,4
Nico,YY,6,5,3,4,5,2,3,2,2,4,3,6
Tico,YY,3,2,4,2,3,4,6,5,5,4,4,4
Victor,YY,5,5,3,3,3,3,5,4,4,2,3,4
Africa,YY,5,6,6,5,4,4,4,2,4,5,3,7
Charly,YY,6,4,4,4,3,2,3,3,4,5,3,6
Marco,YY,6,4,6,4,2,3,2,4,2,2,1,6
Toni,YY,5,4,2,2,4,6,4,4,4,3,3,5
Waty,Z,5,3,5,4,4,4,3,4,4,3,3,5
Nico,Z,6,5,4,5,3,3,3,4,3,5,3,5
Tico,Z,2,2,7,2,3,3,6,4,4,3,4,4
Victor,Z,3,4,3,3,6,5,5,5,6,6,5,3
Africa,Z,6,6,3,5,5,3,5,3,4,6,4,3
Charly,Z,5,5,5,3,3,4,5,3,4,4,3,3
Marco,Z,6,5,4,3,4,3,3,3,4,3,3,4
Toni,Z,4,4,4,3,3,5,5,3,4,3,3,5
Waty,AA,2,2,4,3,4,4,2,4,6,6,5,5
Nico,AA,2,2,5,2,1,1,4,4,2,2,1,4
Tico,AA,2,2,6,2,1,6,1,6,3,4,4,3
Victor,AA,3,5,5,5,5,6,3,2,6,6,5,3
Africa,AA,4,6,3,6,5,5,2,1,5,6,4,5
Charly,AA,5,5,5,4,2,2,4,4,2,2,2,3
Marco,AA,4,5,3,4,2,3,2,4,4,4,2,3
Toni,AA,4,6,6,6,4,5,3,2,4,5,5,5
Waty,BB,4,3,3,3,6,6,2,4,5,6,4,6
Nico,BB,6,6,5,4,1,1,3,2,1,2,2,4
Tico,BB,7,6,7,7,3,5,7,6,2,1,5,1
Victor,BB,6,5,5,3,6,6,6,5,6,7,4,2
Africa,BB,2,2,2,2,4,3,2,2,2,6,6,6
Charly,BB,3,4,4,3,2,2,6,4,1,2,2,4
Marco,BB,5,4,3,5,4,4,3,4,3,3,5,4
Toni,BB,5,3,6,6,5,4,4,3,3,3,3,6
