"","chimp","ageDays","sex","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal"
"1441","Waga",22.027397260274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,14,0.8,7.2,3.3,0.1,64,26,14,171,9.2,3.4,142,3.2,100,3.9,80,17,281
"1442","Waga",25.6904109589041,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1443","Waga",27.3041095890411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1445","Waga",16.0082191780822,0,12000,4.88,39.3,12.7,80.5,26,32.3,0.025,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1446","Waga",17.0027397260274,0,14400,5.05,41.1,13.4,81.4,26.4,32.6,0.016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1447","Waga",14.8904109589041,0,17200,5.2,41,13.1,78.8,25.2,32,0.033,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1448","Wenka",45.158904109589,1,10400,4.85,40.5,13.6,83.5,28,33.6,0.048,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1449","Wenka",43.1013698630137,1,10700,5.43,44.6,14.9,82.1,27.4,33.4,0.024,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1450","Wenka",44.027397260274,1,8500,5.01,41.5,13.8,82.8,27.5,33.3,0.056,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1451","Wenka",49.372602739726,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,14,1.3,8.4,3.9,0.2,105,2,20,220,9.9,2.6,148,3.5,101,4.5,134,21,292
"1452","Wenka",52.2328767123288,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1453","Wenka",53.9397260273973,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1454","Wenka",56.7178082191781,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457","Wenka",46.4383561643836,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,18,1.3,8.2,4,0.2,127,3,32,265,10,2.2,141,3.9,98,4.2,165,28,281
"1458","Wenka",47.1150684931507,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,13,1.5,8.4,4.3,0.2,152,4,31,232,10,2.3,147,3.7,99,4.1,174,26,290
"1459","Wenka",49.3232876712329,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,13,1.3,8.4,3.8,0.2,61,4,24,234,10,1.8,148,3.6,104,4.6,177,24,293
"1460","Wilma",8.32054794520548,0,18900,4.71,40.2,13,85.4,27.6,32.3,0.014,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1461","Wilma",12.3698630136986,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,14,1.4,8.4,3.6,0.2,153,22,13,159,9.6,3,139,3.4,97,4.8,115,21,276
"1462","Wilma",9.31232876712329,0,20900,4.88,41.7,13.8,85.5,28.3,33.1,0.021,2,9,89,14,0.8,7.6,3.5,0.4,355,42,11,220,9.6,5.4,139,4.5,102,4.1,96,NA,NA
"1463","Wilma",10.3178082191781,0,18800,4.63,40.6,13.4,87.7,28.9,33,0.011,4,2,100,13,1,7.5,3.6,0.2,266,23,13,161,9.8,3.7,140,4.2,103,3.9,82,20,278
"1464","Wilma",11.3123287671233,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,12,1,8.3,3.8,0.1,211,29,15,177,9.2,2.9,138,3.6,103,4.5,98,21,273
"1465","Wilson",5.20821917808219,1,7600,5.47,41.1,13.5,75.1,24.7,32.8,0.062,1,0,86,16,1,8.1,3.8,0.1,519,40,26,168,10.6,3.8,142,3.9,100,4.3,60,23,282
"1466","Wilson",1.98082191780822,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,11,0.7,8.2,3.4,0.4,463,35,22,233,9.4,6.4,138,4.5,100,5.8,59,NA,NA
"1467","Wilson",3.06027397260274,1,15800,4.85,36.5,12.4,75.3,25.6,34,0.029,0,3,99,13,0.6,8.6,3.4,0.4,344,42,26,221,9.7,1.6,135,3.9,97,5.2,73,NA,NA
"1468","Wilson",4.05753424657534,1,7200,5,38.2,13.1,76.4,26.2,34.3,0.045,0,6,69,18,0.8,9.3,3.8,0.3,533,53,27,207,11.2,5.9,141,4.4,103,5.5,55,43,281
"1469","Winston",9.66849315068493,0,18200,5.59,46.7,15.8,83.5,28.3,33.8,0.02,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1470","Winston",14.6109589041096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,9,1.2,7.6,3.7,0.2,103,41,32,193,9.5,3.3,144,3.4,107,3.9,98,22,282
"1471","Winston",10.6493150684932,0,12000,5.78,48.8,17.1,84.4,29.6,35,0.019,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472","Winston",11.6657534246575,0,8600,5.63,47.4,16.1,84.2,28.6,34,0.027,2,2,86,8,1.2,7.5,3.9,0.2,140,36,37,194,9,4,141,3.7,105,3.6,118,24,277
