Subject,Rater,DOR,Group,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp
Dany,Melissa Messinese,14/05/2013,group3,5,4,4,4,1,1,2,1,4,3,1,1,2,3,4,4,2,2,4,1,3,2,3,3,2,1,5,3,2,2,3,1,5,3,4,4,2,1,4,5,2,2,5,4,2,1,3,5,5,2,4,1,4,2
Dattero,Arianna De Marco,14/05/2013,group3,6,2,3,5,2,1,4,3,2,2,2,3,5,3,5,2,7,3,5,4,6,2,2,2,2,4,4,4,2,5,7,3,7,2,3,2,3,1,2,4,1,5,2,3,4,1,1,5,5,1,2,1,4,2
Dattero,Andrea Sanna,14/05/2013,group3,6,3,4,5,3,1,4,4,3,3,4,2,3,4,5,4,4,3,4,3,4,4,2,2,4,4,4,4,4,3,5,3,3,3,4,4,4,1,3,4,3,4,4,4,4,1,3,3,6,3,4,3,4,3
Dattero,Melissa Messinese,14/05/2013,group3,5,1,1,7,2,1,3,1,3,2,1,1,2,5,3,2,5,2,5,3,6,2,2,2,2,3,3,5,3,5,3,3,2,2,4,2,2,1,4,3,2,4,3,4,1,1,3,5,3,1,4,1,2,3
Donald,Arianna De Marco,14/05/2013,group3,7,1,4,7,2,1,4,1,2,2,6,1,1,2,6,1,1,7,7,2,4,2,3,1,2,2,1,2,2,6,7,1,1,2,3,7,2,7,7,4,1,6,2,3,2,1,1,1,7,5,2,5,4,4
Donald,Andrea Sanna,14/05/2013,group3,3,3,4,5,4,1,4,2,2,5,4,1,1,4,6,4,1,7,4,4,2,4,1,1,6,4,4,4,3,4,7,4,2,3,4,4,4,4,4,4,2,4,4,4,4,1,2,1,5,3,2,5,3,5
Donald,Melissa Messinese,14/05/2013,group3,5,1,1,7,1,1,1,1,1,1,5,1,1,3,6,4,1,1,4,1,2,1,1,1,1,1,2,2,1,2,7,1,1,1,4,4,1,6,4,4,1,4,1,4,1,1,1,1,5,1,4,6,1,5
Eve,Arianna De Marco,14/05/2013,group3,5,1,4,6,3,1,3,2,1,1,2,2,6,4,5,3,1,2,5,2,5,3,1,2,2,6,5,4,2,3,7,6,6,2,3,5,3,1,5,4,1,4,7,4,2,1,1,6,2,4,2,4,4,3
Eve,Andrea Sanna,14/05/2013,group3,5,2,4,5,3,1,4,2,2,3,4,1,4,4,4,4,3,4,5,2,4,4,1,1,4,4,4,4,4,2,5,4,4,3,4,4,4,1,4,4,2,4,5,4,3,1,4,5,5,3,2,4,3,2
Eve,Melissa Messinese,14/05/2013,group3,6,1,1,7,1,1,2,1,1,1,1,1,4,2,5,4,2,2,5,1,3,2,1,1,2,2,6,3,3,2,3,1,5,2,4,4,2,2,4,5,1,4,6,4,1,4,4,5,6,1,4,1,4,1
Fleur,Arianna De Marco,14/05/2013,group3,2,6,7,1,5,1,7,6,6,5,6,6,6,2,1,3,2,2,2,5,5,3,6,5,6,4,5,6,5,6,2,5,6,4,3,4,6,1,3,5,6,7,6,1,5,1,2,5,3,4,2,3,4,6
Fleur,Andrea Sanna,14/05/2013,group3,2,6,5,2,3,1,5,5,5,5,6,5,6,4,2,4,5,2,2,4,5,4,4,4,4,4,4,4,5,5,1,3,3,3,4,4,4,1,3,4,6,4,4,4,4,1,5,5,3,2,4,4,4,4
