Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC	
lash	2009.03.25	19	2	1	threerisk	High	3	0.717	5.617	<n/a>	0	8	8	0.699	301.8	302.517	307.25	307.967	5	bl	bl	2.866667	2	7	6.62911	Right	0390	0390	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	20	2	0	threerisk	Medium	3	1.883	1.917	1	1	5	7	0.699	320.65	325.05	329.783	331.667	5	bl	bl	4.033333	0	6	6.430236	Middle	2420	1207	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	21	2	1	threerisk	Low	3	1.2	2.8	<n/a>	1	7	7	0.699	335.75	336.333	341.05	342.25	5	bl	bl	3.333333	0	6	5.237329	Left	0900	0900	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	22	2	1	threerisk	Medium	3	0.883	3.6	<n/a>	0	6	6	0.699	348.117	350.15	354.9	355.783	5	bl	bl	3.05	0	7	5.080209	Middle	1905	1905	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	23	2	1	threerisk	Low	3	1.467	2.833	<n/a>	0	8	8	0.699	363.033	363.667	368.4	369.867	5	bl	bl	3.616667	2	9	3.927803	Left	0688	0688	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	24	2	1	threerisk	High	3	1.167	5.05	<n/a>	1	6	6	0.699	377.3	381.983	386.733	387.9	5	bl	bl	3.316667	2	6	4.809969	Right	2210	2210	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	25	2	1	threerisk	High	3	0.717	5.65	<n/a>	1	4	4	0.699	399.9	402.833	407.567	408.283	5	bl	bl	2.866667	2	6	5.66567	Right	0970	0970	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	26	2	1	threerisk	High	3	1.283	5.933	<n/a>	0	6	6	0.699	420.883	424.65	429.4	430.683	5	bl	bl	3.466667	2	6	6.4957	Right	2417	2417	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	27	2	1	threerisk	High	3	0.65	6.733	<n/a>	0	5	5	0.699	443.583	447.567	452.3	452.95	5	bl	bl	2.8	2	6	7.300829	Right	1996	1996	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	28	2	1	threerisk	Medium	3	1.6	2.3	<n/a>	0	8	8	0.699	466.65	470.817	475.567	477.167	5	bl	bl	3.766667	0	6	7.081804	Middle	0062	0062	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	29	2	0	threerisk	Low	3	1.583	4.25	1	1	6	8	0.699	483.283	483.817	488.533	490.117	5	bl	bl	3.716667	0	8	5.86935	Left	2003	0392	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	30	2	1	threerisk	Low	3	1.633	3.75	<n/a>	0	6	6	0.699	497.233	497.45	502.2	503.833	5	bl	bl	3.8	2	9	4.693269	Left	0704	0704	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	31	2	1	threerisk	High	3	0.75	6.083	<n/a>	1	5	5	0.699	512.183	516.05	520.767	521.517	5	bl	bl	2.9	2	6	5.552471	Right	0802	0802	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	32	2	0	threerisk	Low	3	1.567	3.817	1	1	8	5	0.699	534.6	539.65	544.383	545.95	5	bl	bl	3.716667	0	6	4.385897	Left	2284	1720	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	33	2	1	threerisk	High	3	0.733	6.567	<n/a>	0	8	8	0.699	552.833	553.433	558.15	558.883	5	bl	bl	2.866667	2	7	5.25432	Right	0941	0941	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
lash	2009.03.25	34	2	0	threerisk	Medium	3	2.133	2.733	1	1	6	7	0.699	572.483	576.183	580.933	583.067	5	bl	bl	4.3	0	6	5.096691	Middle	1594	1909	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk	0.699	<n/a>	<n/a>	0.655	0.511
