Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
lash	2009.02.24	23	2	1	threerisk	High	3	2.183	0.6	<n/a>	1	5	5	0.777	330.417	335	339.733	341.917	5	bl	bl	4.35	2	6	0	Right	1393	1393	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	24	2	1	threerisk	High	3	1.217	0.467	<n/a>	0	7	7	0.777	349.467	353.067	357.767	358.983	5	bl	bl	3.35	2	6	0	Right	1888	1888	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	25	2	1	threerisk	High	3	0.65	0.55	<n/a>	1	4	4	0.777	366.4	371.017	375.717	376.367	5	bl	bl	2.783333	2	6	0	Right	1540	1540	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	26	2	1	threerisk	High	3	1.317	1.517	<n/a>	0	6	6	0.777	383.817	390.033	394.767	396.083	5	bl	bl	3.466667	2	6	0	Right	1687	1687	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	27	2	1	threerisk	High	3	0.65	0.5	<n/a>	0	4	4	0.777	404.583	409.683	414.4	415.05	5	bl	bl	2.783333	2	6	0	Right	1554	1554	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	28	2	1	threerisk	High	3	1.2	0.683	<n/a>	1	6	6	0.777	422.483	429.8	434.5	435.7	5	bl	bl	3.333333	2	6	0	Right	2204	2204	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	29	2	1	threerisk	High	3	1	0.417	<n/a>	0	5	5	0.777	443.3	447.433	452.15	453.15	5	bl	bl	3.133333	2	6	0	Right	640	640	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	30	2	1	threerisk	High	3	1.15	0.717	<n/a>	0	6	6	0.777	460.517	466.6	470.333	471.483	5	bl	bl	2.316667	2	6	0	Right	1981	1981	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	31	2	0	threerisk	Low	3	1.167	0.867	1	1	4	6	0.777	479.133	482.25	486.967	488.133	5	bl	bl	3.3	0	6	0	Left	1181	2028	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
lash	2009.02.24	32	2	0	threerisk	Medium	3	1.617	1.15	1	0	6	4	0.777	492.067	493.1	497.783	499.4	5	bl	bl	3.733333	0	7	0	Middle	1219	1209	2.5	1.6	1	Chamber 4	60	10	4	1	Retrospective	Notrandomrisk
