Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC	
lash	2010.06.17	19	3	1	threerisk	High	3	1.717	3.317	<n/a>	2	12	12	0.571	309.167	312.7	318.383	320.1	10	bl	bl	4.833333	2	6	-0.9460557	Right	1137	1137	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	20	2	0	threerisk	Low	3	0.783	4.25	1	0	12	6	0.571	331.217	334.017	339.683	340.467	9	bl	bl	3.883333	0	6	-1.917674	Left	1587	2342	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	21	3	1	threerisk	High	3	1.55	3.733	<n/a>	1	7	7	0.571	347.667	348.333	354.017	355.567	11	bl	bl	4.683333	2	7	-0.8601438	Right	0776	0776	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	22	2	0	threerisk	Low	3	1.917	8.267	1	1	14	11	0.571	367.117	371.55	377.217	379.133	11	bl	bl	5.016667	0	6	-1.83434	Left	1744	1002	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	23	1	1	threerisk	Low	3	1.483	4.95	<n/a>	0	10	10	0.571	390.333	391.15	396.817	398.3	9	bl	bl	4.583333	0	7	-2.779309	Left	0498	0498	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	24	2	1	threerisk	Low	3	0.733	5.433	<n/a>	1	5	5	0.571	406.083	406.783	412.417	413.15	6	bl	bl	3.8	0	8	-3.69593	Left	2165	2165	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	25	1	1	threerisk	Medium	3	0.55	3.867	<n/a>	0	7	7	0.571	421.367	422.083	427.717	428.267	7	bl	bl	3.616667	2	9	-3.585052	Middle	1760	1760	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	26	1	1	threerisk	High	3	1.117	3.75	<n/a>	0	7	7	0.571	438.467	441.033	446.667	447.783	5	bl	bl	4.183333	2	6	-2.477501	Right	0590	0590	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	27	2	1	threerisk	Medium	3	1.983	2	<n/a>	0	8	8	0.571	459.35	462.217	467.867	469.85	9	bl	bl	5.066667	0	6	-2.403176	Middle	2247	2247	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	28	1	0	threerisk	Medium	3	0.8	2.283	0	0	4	5	0.571	476.233	476.767	482.367	483.167	2	bl	bl	3.833333	0	9	-2.33108	Middle	1848	0820	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	29	1	1	threerisk	High	3	1.233	3.95	<n/a>	0	10	10	0.571	488.25	489.083	494.733	495.967	7	bl	bl	4.316667	2	8	-1.261148	Right	1903	1903	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	30	1	1	threerisk	High	3	0.617	4.35	<n/a>	0	4	4	0.571	507.983	510.6	516.25	516.867	6	bl	bl	3.7	2	6	-0.2233134	Right	2337	2337	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	31	3	1	threerisk	Low	3	0.933	4.967	<n/a>	2	10	10	0.571	529.017	534.817	540.467	541.4	9	bl	bl	4.016667	0	6	-1.216614	Left	0661	0661	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	32	3	1	threerisk	High	3	0.617	5.8	<n/a>	1	5	5	0.571	549.317	549.85	555.483	556.1	8	bl	bl	3.683333	2	7	-0.1801156	Right	1810	1810	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	33	2	0	threerisk	Low	3	1.167	5.717	0	0	11	9	0.571	569.683	571.8	577.483	578.65	9	bl	bl	4.283333	0	6	-1.174712	Left	0798	2323	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	34	1	1	threerisk	High	3	1.233	4.8	<n/a>	0	6	6	0.571	587.283	588.95	594.6	595.833	7	bl	bl	4.316667	2	7	-0.1394708	Right	1324	1324	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	35	3	1	threerisk	Low	3	0.933	5.45	<n/a>	0	5	5	0.571	608.433	612.75	618.567	619.5	10	bl	bl	4.183333	0	6	-1.135287	Left	1786	1786	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	36	2	0	threerisk	Low	3	1.133	5.633	1	1	7	9	0.571	627.883	629.1	634.783	635.917	9	bl	bl	4.25	0	7	-2.101228	Left	0175	1170	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	37	3	0	threerisk	Low	3	0.65	6.65	0	1	4	5	0.571	644.4	645.067	650.7	651.35	7	bl	bl	3.716667	0	8	-3.038191	Left	2433	0270	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	38	3	0	threerisk	Low	3	0.817	6.467	1	1	5	6	0.571	660.75	661.65	667.25	668.067	4	bl	bl	3.85	0	9	-3.947045	Left	2130	0611	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	39	3	0	threerisk	Low	3	1.083	6.8	1	2	5	9	0.571	677.217	677.75	683.4	684.483	10	bl	bl	4.166667	2	10	-4.828634	Left	2459	0371	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	40	1	1	threerisk	High	3	0.533	4.767	<n/a>	0	5	5	0.571	696.65	698.65	704.233	704.767	2	bl	bl	3.55	2	6	-3.683775	Right	1392	1392	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	41	3	0	threerisk	Low	3	1.383	7.433	1	2	13	7	0.571	717.333	721.967	727.65	729.033	12	bl	bl	4.5	0	6	-4.573262	Left	1486	1685	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	42	1	1	threerisk	Low	3	1.017	6.933	<n/a>	0	9	9	0.571	739.4	741.067	746.7	747.717	7	bl	bl	4.083333	0	7	-5.436064	Left	2004	2004	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	43	2	0	threerisk	Medium	3	2.067	5.733	0	0	4	11	0.571	757.467	758.367	764.033	766.1	9	bl	bl	5.166667	0	8	-5.272982	Middle	2237	0706	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	44	2	0	threerisk	Low	3	0.683	7.15	1	0	8	5	0.571	774.667	775.183	780.85	781.533	10	bl	bl	3.783333	0	7	-6.114793	Left	0572	2122	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	45	2	1	threerisk	Low	3	2.017	9.867	<n/a>	0	10	10	0.571	791.517	792.2	797.85	799.867	9	bl	bl	5.1	0	8	-6.931349	Left	2126	2126	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	46	3	1	threerisk	Low	3	0.667	9	<n/a>	2	6	6	0.571	812.6	813.65	819.25	819.917	4	bl	bl	3.7	0	9	-7.723408	Left	0663	0663	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	47	2	0	threerisk	Low	3	1.983	8.45	0	0	12	8	0.571	832.083	832.817	838.5	840.483	11	bl	bl	5.1	2	10	-8.491706	Left	0731	1239	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	48	3	1	threerisk	High	3	0.6	3.983	<n/a>	0	4	4	0.571	854.067	855.917	861.517	862.117	5	bl	bl	3.65	2	6	-7.236955	Right	0898	0898	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	49	3	1	threerisk	Low	3	2.517	8.1	<n/a>	1	10	10	0.571	874.417	877.85	883.55	886.067	12	bl	bl	5.65	0	6	-8.019846	Left	0678	0678	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	50	3	1	threerisk	High	3	1.9	4.3	<n/a>	1	7	7	0.571	897.117	897.733	903.383	905.283	9	bl	bl	4.983333	2	7	-6.779251	Right	1527	1527	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	51	2	1	threerisk	High	3	0.567	4.983	<n/a>	1	4	4	0.571	917.6	920.883	926.55	927.117	9	bl	bl	3.666667	2	6	-5.575873	Right	1875	1875	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	52	3	1	threerisk	High	3	1.5	5.117	<n/a>	1	11	11	0.571	939.9	943.3	948.933	950.433	8	bl	bl	4.566667	2	6	-4.408597	Right	2468	2468	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	53	3	0	threerisk	Low	3	1.133	7.7	1	1	12	5	0.571	963.867	966.217	971.867	973	9	bl	bl	4.216667	0	6	-5.276339	Left	1300	1113	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	54	3	1	threerisk	Low	3	1.033	8.067	<n/a>	2	7	7	0.571	983.633	984.217	989.817	990.85	4	bl	bl	4.066667	0	7	-6.118049	Left	0199	0199	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	55	2	0	threerisk	Low	3	1.567	8.267	0	0	7	6	0.571	1001.75	1003.933	1009.567	1011.133	7	bl	bl	4.65	0	8	-6.934508	Left	0715	1611	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	56	3	1	threerisk	Low	3	0.917	8.85	<n/a>	0	5	5	0.571	1022.167	1022.817	1028.433	1029.35	5	bl	bl	3.966667	0	9	-7.726472	Left	0271	0271	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	57	2	0	threerisk	Low	3	0.95	8.867	0	1	12	7	0.571	1040.867	1041.583	1047.25	1048.2	9	bl	bl	4.05	2	10	-8.494678	Left	0875	1328	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	58	2	1	threerisk	High	3	0.7	4.733	<n/a>	1	4	4	0.571	1062.217	1064.5	1070.117	1070.817	4	bl	bl	3.75	2	6	-7.239838	Right	1652	1652	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	59	1	1	threerisk	High	3	1.1	5.183	<n/a>	0	7	7	0.571	1083.833	1085.583	1091.2	1092.3	5	bl	bl	4.15	2	6	-6.022643	Right	1862	1862	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.17	60	2	1	threerisk	Low	3	1.017	8.717	<n/a>	0	6	6	0.571	1105.283	1110.7	1116.367	1117.383	9	bl	bl	4.116667	0	6	-6.841963	Left	1266	1266	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.571	<n/a>	<n/a>	0.538	0.501
lash	2010.06.10	1	3	0	threerisk	Low	3	1	1.25	1	1	11	12	0.626	1.283	1.883	7.55	8.55	9	bl	bl	4.1	0	6	-1	Left	1252	0660	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	2	1	1	threerisk	High	3	0.667	0.567	<n/a>	0	6	6	0.626	13.117	13.817	19.45	20.117	3	bl	bl	3.733333	2	7	0.03	Right	0583	0583	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	3	3	0	threerisk	Low	3	1.783	1.167	1	2	7	4	0.626	28.633	31.4	37.067	38.85	10	bl	bl	4.883333	0	6	-0.9709	Left	1247	0998	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	4	3	1	threerisk	Low	3	1.5	1.55	<n/a>	2	6	6	0.626	42.933	43.667	49.3	50.8	9	bl	bl	4.566667	0	7	-1.941773	Left	0838	0838	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	5	3	0	threerisk	Low	3	1.45	2.017	1	1	6	11	0.626	55.2	55.783	61.433	62.883	10	bl	bl	4.533333	0	8	-2.88352	Left	0717	2427	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	6	1	1	threerisk	High	3	0.65	0.883	<n/a>	0	4	4	0.626	67.667	69.433	75.083	75.733	8	bl	bl	3.733333	2	9	-1.797014	Right	0089	0089	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	7	3	1	threerisk	High	3	0.8	1.4	<n/a>	1	4	4	0.626	84.817	88.4	94.067	94.867	10	bl	bl	3.9	2	6	-0.7431038	Right	2195	2195	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	8	1	1	threerisk	High	3	1.317	1.883	<n/a>	0	7	7	0.626	104.067	106.367	112.033	113.35	10	bl	bl	4.433333	2	6	0.2791893	Right	1910	1910	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	9	3	0	threerisk	Low	3	1.483	2.3	1	0	11	10	0.626	123.433	126.45	132.117	133.6	10	bl	bl	4.583333	0	6	-0.7291864	Left	0467	1624	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	10	1	1	threerisk	High	3	0.6	2.367	<n/a>	0	4	4	0.626	138.817	139.417	145.05	145.65	5	bl	bl	3.666667	2	7	0.2926892	Right	2039	2039	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
lash	2010.06.10	11	2	1	threerisk	Medium	3	1.617	0.867	<n/a>	0	4	4	0.626	155.817	160.267	165.867	167.483	3	bl	bl	4.65	0	6	0.2839086	Middle	1118	1118	2.5	1.6	2.25	Chamber 4	60	11	4	1	Retrospective	Notrandomrisk	0.626	<n/a>	<n/a>	0.565	0.495
