Sub	Date	Trial	Accuracy	Risk
lash	2011.03.09	20	0	Low
lash	2011.03.09	21	1	Low
lash	2011.03.09	22	1	Medium
lash	2011.03.09	23	0	Low
lash	2011.03.09	24	1	High
lash	2011.03.09	25	1	Medium
lash	2011.03.09	26	1	High
lash	2011.03.09	27	1	High
lash	2011.03.09	28	1	High
lash	2011.03.09	29	1	High
lash	2011.03.09	30	0	Low
lash	2011.03.09	31	1	Medium
lash	2011.03.09	32	0	Low
lash	2011.03.09	33	1	High
lash	2011.03.09	34	0	High
lash	2011.03.09	35	0	Low
lash	2011.03.09	36	0	Medium
lash	2011.03.09	37	1	Medium
lash	2011.03.09	38	1	Low
lash	2011.03.09	39	1	Low
lash	2011.03.09	40	1	Medium
lash	2011.03.09	41	0	Low
lash	2011.03.09	42	1	Low
lash	2011.03.09	43	1	High
lash	2011.03.09	44	1	High
lash	2011.03.09	45	0	Medium
lash	2011.03.09	46	0	High
lash	2011.03.09	47	0	Medium
lash	2011.03.09	48	1	High
lash	2011.03.09	49	1	Low
lash	2011.03.09	50	1	Low
lash	2011.03.09	51	1	High
lash	2011.03.09	52	1	High
lash	2011.03.09	53	1	Medium
lash	2011.03.09	54	0	High
lash	2011.03.09	55	1	Medium
lash	2011.03.09	56	1	Medium
lash	2011.03.09	57	0	Low
lash	2011.03.09	58	0	Low
lash	2011.03.09	59	0	Medium
lash	2011.03.09	60	0	Low
lash	2011.03.10	1	0	Low
lash	2011.03.10	2	1	High
lash	2011.03.10	3	1	High
lash	2011.03.10	4	1	Medium
lash	2011.03.10	5	1	Low
lash	2011.03.10	6	1	High
lash	2011.03.10	7	1	High
lash	2011.03.10	8	1	High
lash	2011.03.10	9	1	Medium
lash	2011.03.10	10	0	Low
lash	2011.03.10	11	1	Medium
lash	2011.03.10	12	0	Low
lash	2011.03.10	13	1	High
lash	2011.03.10	14	1	Medium
lash	2011.03.10	15	1	Low
lash	2011.03.10	16	0	Low
lash	2011.03.10	17	1	Medium
lash	2011.03.10	18	1	High
lash	2011.03.10	19	0	High
lash	2011.03.10	20	1	High
lash	2011.03.10	21	1	Medium
lash	2011.03.10	22	1	Low
lash	2011.03.10	23	1	Low
