Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?
ebbi	2009.02.18	23	3	0	threerisk	Low	3	0.667	0.517	1	0	4	6	0.562	286.567	288.45	293.217	293.883	8	bl	bl	2.85	0	6	0	Left	245	368	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	24	3	1	threerisk	Low	3	1.583	0.583	<n/a>	1	10	10	0.562	297.467	298.2	303	304.583	8	bl	bl	3.816667	0	7	0	Left	1030	1030	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	25	3	0	threerisk	Low	3	0.517	0.483	1	2	8	10	0.562	308.15	309.283	314.083	314.6	8	bl	bl	2.733333	0	8	0	Left	1260	353	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	26	3	0	threerisk	Low	3	0.55	0.483	0	0	11	10	0.562	317.983	322.033	326.783	327.333	8	bl	bl	2.733333	2	9	0	Left	144	1228	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	27	3	1	threerisk	High	3	1.617	0.5	<n/a>	0	11	11	0.562	332.467	334.983	339.783	341.4	8	bl	bl	3.85	2	6	0	Right	1840	1840	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	28	3	1	threerisk	High	3	1.1	0.5	<n/a>	0	8	8	0.562	348.883	350.367	355.117	356.217	8	bl	bl	3.283333	2	6	0	Right	2143	2143	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	29	3	1	threerisk	Low	3	0.633	0.5	<n/a>	1	10	10	0.562	363.667	365.15	369.933	370.567	8	bl	bl	2.85	0	6	0	Left	163	163	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	30	3	0	threerisk	Low	3	0.617	0.467	0	1	7	9	0.562	374.15	374.767	379.55	380.167	8	bl	bl	2.816667	0	7	0	Left	642	2236	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	31	3	0	threerisk	Low	3	0.667	0.483	0	1	4	10	0.562	383.567	384.267	389.05	389.717	8	bl	bl	2.883333	0	8	0	Left	756	1440	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	32	3	0	threerisk	Low	3	0.55	0.483	1	0	7	9	0.562	393.083	393.667	398.433	398.983	8	bl	bl	2.75	2	9	0	Left	1007	172	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	33	3	0	threerisk	Low	3	0.6	0.567	0	1	7	10	0.562	404.083	406.033	410.8	411.4	8	bl	bl	2.783333	0	6	0	Left	290	1120	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	34	3	1	threerisk	High	3	1.783	0.6	<n/a>	0	11	11	0.562	415	415.6	420.4	422.183	8	bl	bl	4	2	7	0	Right	1520	1520	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	35	3	1	threerisk	High	3	1.1	0.667	<n/a>	1	5	5	0.562	429.85	432.033	436.85	437.95	8	bl	bl	3.333333	2	6	0	Right	2314	2314	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	36	3	1	threerisk	High	3	0.767	0.517	<n/a>	0	4	4	0.562	445.567	447.583	452.4	453.167	8	bl	bl	3.016667	2	6	0	Right	2445	2445	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	37	3	1	threerisk	High	3	1.083	0.417	<n/a>	0	10	10	0.562	460.65	462.667	467.45	468.533	8	bl	bl	3.283333	2	6	0	Right	2116	2116	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	38	3	1	threerisk	Low	3	0.733	0.5	<n/a>	2	6	6	0.562	475.917	477.433	482.217	482.95	8	bl	bl	2.933333	0	6	0	Left	1491	1491	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	39	3	1	threerisk	Low	3	0.9	0.567	<n/a>	1	10	10	0.562	486.5	487	491.767	492.667	8	bl	bl	3.1	0	7	0	Left	523	523	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	40	3	0	threerisk	Low	3	2.3	0.6	0	1	8	5	0.562	496.2	496.85	501.617	503.917	8	bl	bl	4.5	0	8	0	Left	2506	105	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	41	3	1	threerisk	Low	3	0.6	0.45	<n/a>	1	9	9	0.562	507.4	509.483	514.25	514.85	8	bl	bl	2.8	2	9	0	Left	248	248	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	42	3	1	threerisk	Low	3	1.8	0.517	<n/a>	0	7	7	0.562	519.9	522.45	527.217	529.017	8	bl	bl	3.983333	0	6	0	Left	1184	1184	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	43	3	1	threerisk	Low	3	0.55	0.583	<n/a>	1	10	10	0.562	532.617	533.183	537.933	538.483	8	bl	bl	2.733333	0	7	0	Left	1375	1375	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	44	3	0	threerisk	Low	3	0.55	0.5	0	1	5	9	0.562	542.05	542.683	547.467	548.017	8	bl	bl	2.766667	0	8	0	Left	99	1041	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	45	3	0	threerisk	Low	3	0.5	0.417	0	2	11	9	0.562	551.767	552.3	557.1	557.6	8	bl	bl	2.716667	2	9	0	Left	2251	538	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	46	3	0	threerisk	Low	3	2.1	0.45	0	1	10	6	0.562	562.633	565.35	570.133	572.233	8	bl	bl	4.3	0	6	0	Left	1085	1385	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	47	3	0	threerisk	Low	3	1.183	0.533	1	1	5	9	0.562	575.717	576.433	581.2	582.383	8	bl	bl	3.366667	0	7	0	Left	135	1234	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	48	3	0	threerisk	Low	3	0.517	0.45	0	1	5	9	0.562	585.85	586.533	591.283	591.8	8	bl	bl	2.683333	0	8	0	Left	757	431	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	49	3	0	threerisk	Low	3	0.65	0.5	0	1	5	9	0.562	595.233	595.983	600.817	601.467	8	bl	bl	2.9	2	9	0	Left	18	2150	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	50	3	0	threerisk	Low	3	0.833	0.483	1	2	5	10	0.562	606.6	608.683	613.483	614.317	8	bl	bl	3.05	0	6	0	Left	2201	1345	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	51	3	1	threerisk	High	3	0.867	0.4	<n/a>	1	8	8	0.562	617.85	618.55	623.317	624.183	8	bl	bl	3.066667	2	7	0	Right	1326	1326	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	52	3	1	threerisk	High	3	0.7	0.5	<n/a>	2	4	4	0.562	631.65	633.467	638.267	638.967	8	bl	bl	2.933333	2	6	0	Right	414	414	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	53	3	0	threerisk	High	3	1.717	0.583	0	0	4	10	0.562	646.433	648.55	653.333	655.05	8	bl	bl	3.933333	0	6	0	Right	1954	124	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
ebbi	2009.02.18	54	3	0	threerisk	Low	3	0.617	0.6	1	1	11	10	0.562	662.067	662.85	667.617	668.233	8	bl	bl	2.816667	0	2	0	Left	1817	2468	2.5	1.6	1	Chamber 2	60	10	4	1	Retrospective	Notrandomrisk
