Sub	Date	Trial	Samples	Accuracy	RiskChoices	Risk	NumRiskChoices	RT	RtRisk	PressedSample	CorSampPort	CorrectPort	PortPressed	PBSCoverall	SamplesTime	GoPressTime	ChoiceShown	ChoiceTime	NumChoices	ex2	ex3	SampleToRespRT	Pellet	Tokens	RiskBias	RiskSide	PicturePressed	CorrectPicture	SampleDuration	SimHintDuration	Delay	Chamber	TrialsPerSession	Criterion	TO	ITI	RiskOrder	Randomrisk?	LowHighPBSC	LowvsMedPBSC	MedvsHighPBSC	LoMedvsHighPBSC	LovsMedHighPBSC
ebbi	2010.07.23	19	1	1	threerisk	High	3	0.683	5.067	<n/a>	0	5	5	0.809	306.4	310.017	320.45	321.133	4	bl	bl	8.816667	2	6	4.846904	Right	183	183	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	20	3	0	threerisk	Low	3	3.4	3.3	1	1	6	7	0.809	328.95	331.45	340.1	343.5	4	bl	bl	9.75	0	6	3.701497	Left	1494	70	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	21	3	1	threerisk	Low	3	0.567	4.233	<n/a>	0	5	5	0.809	346.45	347.133	356.767	357.333	6	bl	bl	7.883333	0	7	2.590452	Left	2023	2023	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	22	2	0	threerisk	Medium	3	0.967	2.567	1	1	13	5	0.809	360.167	360.983	368.95	369.917	10	bl	bl	6.633333	0	8	2.512739	Middle	498	1834	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	23	2	1	threerisk	High	3	0.95	5.067	<n/a>	0	4	4	0.809	372.733	382.75	393.183	394.133	5	bl	bl	9.083333	2	7	3.437357	Right	275	275	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	24	1	1	threerisk	High	3	0.883	5.5	<n/a>	0	8	8	0.809	401.917	404.783	415.7	416.583	9	bl	bl	9.483333	2	6	4.334236	Right	2429	2429	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	25	2	0	threerisk	Low	3	0.55	4.083	1	1	12	5	0.809	424.367	426.567	436.05	436.6	11	bl	bl	7.733333	0	6	3.204209	Left	349	174	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	26	2	0	threerisk	Low	3	0.517	4.333	0	0	9	4	0.809	439.883	440.667	450.433	450.95	10	bl	bl	7.966667	0	7	2.108082	Left	398	2063	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	27	3	0	threerisk	Low	3	0.55	4.517	0	1	12	5	0.809	453.783	454.617	464.567	465.117	11	bl	bl	8.183333	0	8	1.04484	Left	2113	1618	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	28	2	1	threerisk	Medium	3	1.767	1.483	<n/a>	0	7	7	0.809	467.883	468.467	475.317	477.083	5	bl	bl	6.316667	2	9	1.013495	Middle	2360	2360	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	29	2	1	threerisk	High	3	1.55	5.217	<n/a>	1	10	10	0.809	483.383	487.85	498.483	500.033	10	bl	bl	9.866667	2	6	1.98309	Right	355	355	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	30	1	1	threerisk	High	3	0.85	5.567	<n/a>	0	6	6	0.809	507.817	510.35	521.283	522.133	5	bl	bl	9.466667	2	6	2.923597	Right	1961	1961	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	31	3	1	threerisk	High	3	0.667	5.933	<n/a>	0	4	4	0.809	529.933	531.917	543.2	543.867	4	bl	bl	9.65	2	6	3.835889	Right	1272	1272	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	32	1	1	threerisk	High	3	0.783	7.2	<n/a>	0	5	5	0.809	551.65	554.9	567.467	568.25	4	bl	bl	11.03333	2	6	4.720813	Right	114	114	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	33	2	1	threerisk	High	3	1.7	6.717	<n/a>	0	7	7	0.809	576.033	578.65	590.767	592.467	10	bl	bl	11.51667	2	6	5.579188	Right	970	970	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	34	1	1	threerisk	High	3	0.783	6.933	<n/a>	0	4	4	0.809	600.25	603.633	615.95	616.733	5	bl	bl	10.78333	2	6	6.411813	Right	2192	2192	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	35	2	1	threerisk	High	3	1.017	7.167	<n/a>	1	5	5	0.809	624.517	628.2	640.717	641.733	4	bl	bl	11.23333	2	6	7.219458	Right	1910	1910	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	36	1	1	threerisk	High	3	0.917	7.517	<n/a>	0	6	6	0.809	649.517	652.183	665.067	665.983	3	bl	bl	11.48333	2	6	8.002875	Right	1409	1409	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	37	1	1	threerisk	High	3	0.55	7.8	<n/a>	0	5	5	0.809	673.767	677.783	690.933	691.483	2	bl	bl	11.4	2	6	8.762788	Right	1541	1541	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	38	2	1	threerisk	High	3	1.717	8.083	<n/a>	1	7	7	0.809	699.283	702	715.567	717.283	8	bl	bl	12.96667	2	6	9.499905	Right	462	462	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	39	3	1	threerisk	High	3	1.15	8.417	<n/a>	1	6	6	0.809	725.083	727.917	741.717	742.867	6	bl	bl	12.63333	2	6	10.21491	Right	2074	2074	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	40	1	1	threerisk	High	3	1.267	8.7	<n/a>	0	9	9	0.809	750.667	754.05	768.15	769.417	9	bl	bl	13.05	2	6	10.90846	Right	2230	2230	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	41	1	1	threerisk	High	3	0.917	9.5	<n/a>	0	5	5	0.809	777.183	781.35	796.217	797.133	5	bl	bl	13.48333	2	6	11.58121	Right	2376	2376	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	42	3	1	threerisk	Low	3	2.35	3.55	<n/a>	0	5	5	0.809	804.933	807.767	816.717	819.067	10	bl	bl	9	0	6	10.23377	Left	2410	2410	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	43	3	0	threerisk	Medium	3	1.017	1.333	1	0	8	5	0.809	822	822.583	829.283	830.3	7	bl	bl	5.4	0	7	9.926757	Middle	298	1767	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	44	3	1	threerisk	Medium	3	1.083	1.767	<n/a>	2	7	7	0.809	833.25	834.05	841.167	842.25	4	bl	bl	5.9	0	6	9.628954	Middle	1509	1509	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	45	2	0	threerisk	Low	3	0.567	3.617	0	0	6	4	0.809	846.65	848.683	857.7	858.267	7	bl	bl	7.266667	0	9	8.340086	Left	1467	309	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	46	3	0	threerisk	Low	3	0.45	4.033	0	0	9	5	0.809	860.933	861.567	871	871.45	9	bl	bl	7.566667	2	10	7.089883	Left	109	1083	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	47	2	1	threerisk	High	3	1.7	7.95	<n/a>	1	14	14	0.809	876.317	879.217	892.583	894.283	11	bl	bl	12.76667	2	6	7.877187	Right	1009	1009	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	48	2	1	threerisk	High	3	1.867	8.217	<n/a>	0	4	4	0.809	902.083	903.85	917.467	919.333	8	bl	bl	13.16667	2	6	8.640871	Right	2436	2436	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	49	2	1	threerisk	High	3	0.783	8.617	<n/a>	1	4	4	0.809	927.117	931.2	945.183	945.967	5	bl	bl	12.46667	2	6	9.381645	Right	764	764	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
ebbi	2010.07.23	50	2	0	threerisk	Low	3	0.7	4.45	0	0	12	4	0.809	953.733	956.933	966.8	967.5	10	bl	bl	8.266667	0	6	8.100196	Left	2262	122	2.25	1.25	2.25	Chamber 2	60	11	4	1	Prospective	Notrandomrisk	0.809	<n/a>	<n/a>	0.719	0.732
