"","x"
"1","01/01/1948"
"2","01/01/1948"
"3","01/01/1950"
"4","01/01/1951"
"5","07/01/1960"
"6","07/16/1960"
"7","06/11/1980"
"8","08/23/1979"
"9","01/30/1978"
"10","04/29/1981"
"11","05/22/1981"
"12","12/08/1986"
"13","10/31/1985"
"14","10/09/1987"
"15","12/25/1988"
"16","06/26/1989"
"17","12/06/1991"
"18","04/11/1991"
"19","03/13/1991"
"20","05/06/1993"
"21","02/06/1991"
"22","01/07/1982"
"23","05/06/1974"
"24","02/28/1972"
"25","09/14/1994"
