sex,status,age_pr,age,origin,sample,Dom,Ext,Con,Agr,Neu,Opn
0,1,17.36071184,29.21667806,CAPTIVE,2,3.583333333,4.62962963,5,4.066666667,4.888888889,3.333333333
1,0,5.456536619,21.93574846,CAPTIVE,2,4,5.638888889,5.444444444,5.05,4.25,5
1,0,36.37143509,46.55092276,WILD,4,3.622222222,3.8,4.833333333,4,3.066666667,3.333333333
1,0,9.435406699,26.60013671,CAPTIVE,6,5.333333333,4.555555556,4.888888889,1.8,4.666666667,3.5
0,0,31.13666439,38.7012987,CAPTIVE,4,4,4.866666667,5.238095238,4.833333333,3.4,4.833333333
0,0,17.07141227,27.23444976,CAPTIVE,4,3.311111111,4.733333333,4.476190476,3.444444445,3.8,5
0,1,13.0403833,14.64114833,CAPTIVE,4,2.066666667,2.7,4.80952381,2.722222222,4.266666667,2.583333333
0,1,17.9301848,37.41900205,CAPTIVE,2,4.083333333,3.666666667,4.259259259,3.666666667,5.111111111,2.833333334
0,0,21.39986329,27.59535202,CAPTIVE,3,1.8,3.2,4.642857143,4.416666667,6.6,2.375
0,0,6.32125769,22.09159262,CAPTIVE,6,3.333333333,5,5.888888889,5.8,4.333333333,5
1,0,4.880382775,18.15721121,CAPTIVE,6,5.041666667,4.888888889,4.5,3.7,4.833333333,5.25
0,0,8.049281314,30.03691046,CAPTIVE,2,4.222222222,6.037037037,5.407407407,4.266666667,4,5.666666667
0,0,23.39949806,33.54203691,CAPTIVE,4,3.866666667,4.266666667,5.214285714,3.777777778,3.2,4
1,0,21.26899384,25.34518113,CAPTIVE,4,3.733333333,3.15,4.25,3.083333333,5,4.25
0,0,19.547342,29.74982912,CAPTIVE,4,3.866666667,3.866666667,5.285714286,3.388888889,2.866666667,3.583333334
1,1,4.796714579,7.414900889,CAPTIVE,2,2.95,5.222222222,5.666666667,4.4,4,4.3
0,0,12.53114305,24.55775803,CAPTIVE,2,2.833333333,5.5,5.777777778,4.8,4.166666667,2.75
1,0,16.69719754,35.27272727,CAPTIVE,6,5.25,3.666666667,3.388888889,3.2,5.833333333,3.25
1,1,38.51537936,41.17019822,WILD,6,5.25,3.555555556,2.888888889,3,6.333333333,4
