Round 1,Region,Seed,Team,Round 1 Results,Round 2,Region,Seed,Team,Round 2 Results,Round 3,Region,Seed,Team,Round 3 Results,Round 4,Region,Seed,Team,Round 4 Results,Round 5,Region,Seed,Team,Round 5 Results,Round 6,Region,Seed,Team,Round 6 Results
,South,1,Kentucky,W,,South,1,Kentucky,W,,South,1,Kentucky,W,,South,1,Kentucky,W,,South,1,Kentucky,W,,South,1,Kentucky,W
,,16,Western Kentucky,L,,,8,Iowa St.,L,,,4,Indiana,L,,,3,Baylor,L,,West,4,Louisville,L,,Midwest,2,Kansas,L
,,8,Iowa St.,W,,,12,VCU,L,,,3,Baylor,W,,West,4,Louisville,W,,East,2,Ohio St.,L,,,,,
,,9,Connecticut,L,,,4,Indiana,W,,,10,Xavier,L,,,7,Florida,L,,Midwest,2,Kansas,W,,,,,
,,5,Wichita St.,L,,,11,Colorado,L,,West,1,Michigan St.,L,,East,1,Syracuse,L,,,,,,,,,,
,,12,VCU,W,,,3,Baylor,W,,,4,Louisville,W,,,2,Ohio St.,W,,,,,,,,,,
,,4,Indiana,W,,,10,Xavier,W,,,3,Marquette,L,,Midwest,1,North Carolina,L,,,,,,,,,,
,,13,New Mexico St.,L,,,15,Lehigh,L,,,7,Florida,W,,,2,Kansas,W,,,,,,,,,,
,,6,UNLV,L,,West,1,Michigan St.,W,,East,1,Syracuse,W,,,,,,,,,,,,,,,
,,11,Colorado,W,,,9,Saint Louis,L,,,4,Wisconsin,L,,,,,,,,,,,,,,,
,,3,Baylor,W,,,5,New Mexico,L,,,6,Cincinnati,L,,,,,,,,,,,,,,,
,,14,South Dakota St.,L,,,4,Louisville,W,,,2,Ohio St.,W,,,,,,,,,,,,,,,
,,7,Notre Dame,L,,,6,Murray St.,L,,Midwest,1,North Carolina,W,,,,,,,,,,,,,,,
,,10,Xavier,W,,,3,Marquette,W,,,13,Ohio  ,L,,,,,,,,,,,,,,,
,,2,Duke,L,,,7,Florida,W,,,11,North Carolina St.,L,,,,,,,,,,,,,,,
,,15,Lehigh,W,,,15,Norfolk St.,L,,,2,Kansas,W,,,,,,,,,,,,,,,
,West,1,Michigan St.,W,,East,1,Syracuse,W,,,,,,,,,,,,,,,,,,,,
,,16,LIU Brooklyn,L,,,8,Kansas St.,L,,,,,,,,,,,,,,,,,,,,
,,8,Memphis,L,,,5,Vanderbilt,L,,,,,,,,,,,,,,,,,,,,
,,9,Saint Louis,W,,,4,Wisconsin,W,,,,,,,,,,,,,,,,,,,,
,,5,New Mexico,W,,,6,Cincinnati,W,,,,,,,,,,,,,,,,,,,,
,,12,Long Beach St.,L,,,3,Florida St.,L,,,,,,,,,,,,,,,,,,,,
,,4,Louisville,W,,,7,Gonzaga,L,,,,,,,,,,,,,,,,,,,,
,,13,Davidson,L,,,2,Ohio St.,W,,,,,,,,,,,,,,,,,,,,
,,6,Murray St.,W,,Midwest,1,North Carolina,W,,,,,,,,,,,,,,,,,,,,
,,11,Colorado St.,L,,,8,Creighton,L,,,,,,,,,,,,,,,,,,,,
,,3,Marquette,W,,,12,South Florida,L,,,,,,,,,,,,,,,,,,,,
,,14,BYU,L,,,13,Ohio  ,W,,,,,,,,,,,,,,,,,,,,
,,7,Florida,W,,,11,North Carolina St.,W,,,,,,,,,,,,,,,,,,,,
,,10,Virginia,L,,,3,Georgetown,L,,,,,,,,,,,,,,,,,,,,
,,2,Missouri,L,,,10,Purdue,L,,,,,,,,,,,,,,,,,,,,
,,15,Norfolk St.,W,,,2,Kansas,W,,,,,,,,,,,,,,,,,,,,
,East,1,Syracuse,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,UNC Asheville,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,Kansas St.,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Southern Miss,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Vanderbilt,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Harvard,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Wisconsin,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,Montana,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Cincinnati,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,Texas,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Florida St.,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,St. Bonaventure,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Gonzaga,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,West Virginia,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Ohio St.,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,Loyola MD,L,,,,,,,,,,,,,,,,,,,,,,,,,
,Midwest,1,North Carolina,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,Vermont,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,Creighton,W,,,,,,,,,,,,,,,,,,,,,,,,,
