sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
53,California,=,82.08,18,10,78.6,-33,1,5,|,4,7,|,,80.99,63,|,82.04,55,|,82.25,47
54,West Virginia,=,82.03,15,13,79.21,-22,1,6,|,4  1,0,|,,81.38,56,|,82.72,50,|,79.11,82
55,Green Bay,=,81.85,20,5,72.96,-133,1,1,|,1,2,|,,81.27,57,|,81.37,61,|,83.67,38
56,Marquette,=,81.74,17,11,79.09,-24,0,6,|,2  1,0,|,,80.91,66,|,81.58,59,|,82.15,48
57,Clemson,=,81.72,17,10,76.78,-70,1,4,|,2,7,|,,81.26,58,|,82.17,52,|,79.39,79
58,Indiana,=,81.7,16,12,77.96,-45,3,5,|,3,6,|,,81.92,52,|,81.9,57,|,79.71,74
59,Missouri,=,81.57,19,9,77.53,-57,1,2,|,4,2,|,,81.2,61,|,81.75,58,|,80.13,70
60,Maryland,=,81.57,15,13,78.62,-32,0,8,|,1  1,0,|,,82.49,49,|,81.91,56,|,78.65,88
61,Saint Mary's,=,81.49,20,9,74.95,-102,0,1,|,1,3,|,,81.25,60,|,81.33,62,|,81.31,56
62,LSU,=,81.2,17,10,76.84,-68,1,1,|,2,5,|,,80.92,65,|,81.43,60,|,79.47,78
63,Saint Joseph's,=,81.1,20,7,76.04,-84,0,2,|,2,4,|,,80.98,64,|,80.37,65,|,83.95,34
64,Nebraska,=,81,16,11,79.37,-19,2,6,|,3,7,|,,81.25,59,|,80.83,64,|,80.44,67
65,Dayton,=,80.68,19,9,75.7,-89,1,0,|,2,3,|,,80.76,67,|,80.3,67,|,81.25,58
66,Illinois,=,80.68,16,12,78.8,-28,0,6,|,1,7,|,,80.61,68,|,80.91,63,|,78.78,86
67,Southern Miss,=,79.96,22,5,71.57,-173,0,1,|,1,1,|,,81.45,55,|,79.04,74,|,82.05,51
68,Vermont,=,79.8,18,9,69.22,-254,0,1,|,0,2,|,,81.09,62,|,80.31,66,|,75.96  1,18
69,Boise St.,=,79.73,16,10,76.31,-80,0,4,|,2,5,|,,79.47,71,|,79.78,70,|,78.65,87
70,North Dakota St.,=,79.68,19,6,73.08,-131,0,1,|,0,1,|,,78.77,78,|,79.1,72,|,82.44,44
71,UNLV,=,79.63,18,10,72.93,-135,0,2,|,1,4,|,,80.33,69,|,79.92,68,|,76.88  1,3
72,Mississippi,=,79.47,17,11,76.35,-79,0,3,|,0,6,|,,78.99,76,|,79.63,71,|,78.16,94
73,Texas Tech,=,79.32,13,15,79.73,-11,1,6,|,3  1,1,|,,79.01,75,|,79.88,69,|,76.36  1,11
74,Richmond,=,79.03,18,10,75.35,-96,0,2,|,1,6,|,,78.41,83,|,78.77,77,|,79.68,75
75,Stephen F. Austin,=,78.94,24,2,66.51,-331,0,0,|,0,1,|,,77.71,93,|,77.89,92,|,86.49,21
76,Georgia St.,=,78.92,19,7,70.18,-219,0,0,|,0,0,|,,78.67,79,|,78.84,76,|,78.39,90
77,St. Bonaventure,=,78.87,16,12,74.89,-104,0,0,|,1,4,|,,79.42,72,|,78.94,75,|,77.00  1,1
78,North Carolina St.,=,78.76,17,11,77.35,-59,0,7,|,2,7,|,,78.36,85,|,78.43,84,|,79.54,76
79,San Francisco,=,78.74,17,10,75.81,-87,0,2,|,0,6,|,,78.32,87,|,78.12,87,|,81.07,60
80,Manhattan,=,78.73,21,7,71.5,-179,0,0,|,0,1,|,,78.85,77,|,78.12,88,|,80.44,68
81,Penn St.,=,78.69,14,14,78.73,-30,2,5,|,3,6,|,,79.08,74,|,79.09,73,|,75.75  1,22
82,Tulsa,=,78.64,16,12,72.65,-148,0,2,|,0,4,|,,79.32,73,|,78.72,78,|,76.64  1,8
83,Iona,=,78.41,19,9,72.59,-150,0,1,|,0,1,|,,78.34,86,|,78.18,86,|,78.34,92
84,Georgia,=,78.39,16,11,75.77,-88,0,2,|,1,5,|,,76.99  1,2,|,78.45,82,|,78.41,89
85,Purdue,=,78.39,15,13,78.02,-44,0,7,|,1,8,|,,77.71,92,|,78.59,81,|,77.05  1,0
