sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
213,Hampton,=,69.17,16,11,65.75,-347,0,1,|,0,1,|,,69.45  2,4,|,68.45,219,|,70.97  1,92
214,Rider,=,69.11,13,15,70.44,-213,0,1,|,0,1,|,,68.56  2,19,|,68.81,211,|,69.86  2,5
215,Northeastern,=,69.1,9,20,72.86,-140,0,0,|,0,3,|,,69.80  2,1,|,69.39,203,|,65.50  2,69
216,Evansville,=,69.09,10,18,73.54,-123,0,2,|,0,3,|,,69.54  2,2,|,68.61,213,|,69.70  2,11
217,Texas-Arlington,=,68.97,10,15,72.94,-134,0,1,|,0,3,|,,69.13  2,14,|,68.63,212,|,69.18  2,19
218,Morgan St.,=,68.79,11,14,69.87,-230,0,1,|,0,2,|,,68.72  2,16,|,68.49,217,|,69.06  2,24
219,Army,=,68.76,12,15,69.32,-249,0,0,|,0,0,|,,69.90  2,0,|,68.13,227,|,69.36  2,17
220,Air Force,=,68.58,9,15,73.11,-130,0,2,|,0,3,|,,69.38  2,8,|,68.39,221,|,67.48  2,53
221,CS Bakersfield,=,68.57,11,16,68.52,-272,0,0,|,0,0,|,,68.65  2,17,|,68.55,214,|,67.38  2,54
222,Louisiana-Monroe,=,68.53,8,14,73.3,-126,0,2,|,0,3,|,,68.53  2,20,|,68.15,226,|,69.14  2,21
223,South Dakota,=,68.53,9,16,73.45,-124,0,0,|,0,1,|,,69.40  2,6,|,67.8,230,|,69.76  2,9
224,Albany,=,68.49,15,13,67.42,-309,0,1,|,0,1,|,,67.41  2,35,|,68.37,223,|,68.93  2,27
225,Eastern Washington,=,68.41,12,14,69.33,-248,0,1,|,0,1,|,,67.62  2,32,|,68.37,222,|,68.18  2,38
226,Marshall,=,68.21,7,20,72.35,-160,0,0,|,0,1,|,,69.05  2,15,|,68.53,215,|,64.17  2,87
227,Ark.-Little Rock,=,68.1,11,15,73.05,-132,0,1,|,0,3,|,,67.88  2,26,|,67.32,240,|,70.53  1,95
228,Saint Peter's,=,68.03,12,16,70.7,-204,0,0,|,0,0,|,,67.01  2,43,|,67.79,231,|,68.90  2,29
229,Seattle,=,68.02,10,14,69.28,-252,0,0,|,0,0,|,,67.09  2,42,|,68.19,225,|,66.86  2,60
230,Lehigh,=,67.91,14,16,70.13,-224,0,1,|,0,2,|,,67.56  2,33,|,67.55,234,|,68.73  2,32
231,Grand Canyon,=,67.82,10,13,69.97,-228,0,0,|,0,2,|,,66.66  2,51,|,67.38,238,|,69.73  2,10
232,Charleston Southern,=,67.78,8,16,67.67,-297,0,0,|,0,3,|,,67.65  2,30,|,68.48,218,|,62.35  3,13
233,North Dakota,=,67.7,11,14,70.17,-220,0,1,|,0,2,|,,66.54  2,55,|,67.49,236,|,68.60  2,34
234,CS Northridge,=,67.68,12,16,70.13,-223,0,0,|,0,0,|,,66.80  2,47,|,67.75,232,|,67.02  2,59
235,Marist,=,67.65,11,18,71.95,-167,0,0,|,0,0,|,,67.26  2,38,|,67.37,239,|,68.12  2,40
236,SE Missouri St.(SEMO),=,67.64,14,13,66,-343,0,0,|,0,2,|,,66.56  2,54,|,67.11,245,|,69.78  2,7
237,Western Carolina,=,67.64,14,13,67.44,-307,0,0,|,0,1,|,,67.40  2,37,|,67.14,244,|,68.92  2,28
238,Mount St. Mary's,=,67.54,12,16,68.88,-262,0,2,|,0,3,|,,66.89  2,46,|,66.82,250,|,70.11  1,99
239,Florida Atlantic,=,67.53,8,19,72.03,-166,0,1,|,1,2,|,,66.93  2,45,|,67.82,229,|,65.42  2,71
240,Gardner-Webb,=,67.46,14,13,66.22,-339,0,1,|,0,2,|,,67.41  2,36,|,67.26,241,|,67.29  2,56
241,Texas A&M-CorpusChristi,=,67.42,13,13,66.33,-336,0,1,|,0,3,|,,65.81  2,66,|,66.83,249,|,70.27  1,98
242,Coastal Carolina,=,67.4,14,12,66.1,-342,0,0,|,0,1,|,,67.79  2,27,|,66.75,252,|,68.70  2,33
243,South Alabama,=,67.36,6,19,72.82,-143,0,1,|,0,3,|,,67.14  2,41,|,67.95,228,|,62.88  3,5
244,Winthrop,=,67.36,13,12,67.46,-306,0,0,|,0,1,|,,67.91  2,25,|,66.81,251,|,68.16  2,39
245,Loyola-Chicago,=,67.33,8,20,71.54,-177,0,2,|,0,2,|,,66.77  2,49,|,67.43,237,|,66.22  2,62
246,Norfolk St.,=,67.32,13,11,66.27,-338,0,1,|,0,1,|,,67.25  2,39,|,67.08,247,|,67.29  2,55
247,East Tennessee St.,=,67.31,16,14,67.02,-319,0,0,|,0,0,|,,67.62  2,31,|,66.59,255,|,69.07  2,23
248,Lafayette,=,67.25,9,18,70.55,-209,0,1,|,0,1,|,,67.67  2,29,|,67.49,235,|,64.18  2,86
249,CS Fullerton,=,67.25,10,17,71.26,-188,0,0,|,0,0,|,,65.96  2,61,|,67.62,233,|,65.42  2,72
250,Idaho,=,67.24,11,16,69.44,-245,0,0,|,0,1,|,,66.77  2,48,|,66.95,248,|,67.84  2,45
251,Western Illinois,=,67.1,6,19,72.47,-157,0,0,|,0,0,|,,66.95  2,44,|,67.1,246,|,66.05  2,64
252,Hartford,=,67.08,15,15,67.77,-294,0,1,|,0,1,|,,67.52  2,34,|,66.6,254,|,67.68  2,48
253,James Madison,=,67.02,11,18,71.33,-184,0,1,|,0,1,|,,67.15  2,40,|,66.16,262,|,69.43  2,16
254,Dartmouth,=,66.87,7,16,70.34,-214,0,0,|,0,3,|,,67.78  2,28,|,67.25,242,|,61.98  3,17
255,Incarnate Word,=,66.76,7,6,64.75,-348,0,0,|,0,0,|,,65.79  2,67,|,66.32,260,|,68.41  2,36
256,VMI,=,66.75,13,11,67.16,-316,0,0,|,0,0,|,,65.82  2,65,|,65.87,266,|,70.09  2,0
257,Idaho St.,=,66.62,8,16,68.68,-267,0,0,|,0,2,|,,65.86  2,63,|,67.21,243,|,62.80  3,9
258,NC Asheville,=,66.59,12,14,68.47,-273,0,2,|,0,2,|,,65.36  2,72,|,66.39,257,|,67.50  2,52
259,Tulane,=,66.54,15,13,69.56,-243,0,0,|,0,2,|,,66.60  2,53,|,64.75,279,|,72.22  1,67
260,Monmouth-NJ,=,66.49,11,19,70.15,-221,0,0,|,0,1,|,,65.84  2,64,|,66.68,253,|,64.96  2,76
