Round 1,Region,Seed,Team,Round 1 Results,Round 2,Region,Seed,Team,Round 2 Results,Round 3,Region,Seed,Team,Round 3 Results,Round 4,Region,Seed,Team,Round 4 Results,Round 5,Region,Seed,Team,Round 5 Results,Round 6,Region,Seed,Team,Round 6 Results
,Midwest,1,Louisville,W,,Midwest,1,Louisville,W,,Midwest,1,Louisville,W,,Midwest,1,Louisville,W,,Midwest,1,Louisville,W,,Midwest,1,Louisville,W
,,16,North Carolina A&T,L,,,8,Colorado St.,L,,,12,Oregon,L,,,2,Duke,L,,West,9,Wichita St.,L,,South,4,Michigan,L
,,8,Colorado St.,W,,,12,Oregon,W,,,3,Michigan St.,L,,West,9,Wichita St.,W,,South,4,Michigan,W,,,,,
,,9,Missouri,L,,,4,Saint Louis,L,,,2,Duke,W,,,2,Ohio St.,L,,East,4,Syracuse,L,,,,,
,,5,Oklahoma St.,L,,,6,Memphis,L,,West,9,Wichita St.,W,,South,4,Michigan,W,,,,,,,,,,
,,12,Oregon,W,,,3,Michigan St.,W,,,13,La Salle,L,,,3,Florida,L,,,,,,,,,,
,,4,Saint Louis,W,,,7,Creighton,L,,,6,Arizona,L,,East,4,Syracuse,W,,,,,,,,,,
,,13,New Mexico St.,L,,,2,Duke,W,,,2,Ohio St.,W,,,3,Marquette,L,,,,,,,,,,
,,6,Memphis,W,,West,1,Gonzaga,L,,South,1,Kansas,L,,,,,,,,,,,,,,,
,,11,Saint Mary's,L,,,9,Wichita St.,W,,,4,Michigan,W,,,,,,,,,,,,,,,
,,3,Michigan St.,W,,,12,Mississippi,L,,,3,Florida,W,,,,,,,,,,,,,,,
,,14,Valparaiso,L,,,13,La Salle,W,,,15,Florida Gulf Coast,L,,,,,,,,,,,,,,,
,,7,Creighton,W,,,6,Arizona,W,,East,1,Indiana,L,,,,,,,,,,,,,,,
,,10,Cincinnati,L,,,14,Harvard,L,,,4,Syracuse,W,,,,,,,,,,,,,,,
,,2,Duke,W,,,10,Iowa St.,L,,,3,Marquette,W,,,,,,,,,,,,,,,
,,15,Albany,L,,,2,Ohio St.,W,,,2,Miami FL,L,,,,,,,,,,,,,,,
,West,1,Gonzaga,W,,South,1,Kansas,W,,,,,,,,,,,,,,,,,,,,
,,16,Southern,L,,,8,North Carolina,L,,,,,,,,,,,,,,,,,,,,
,,8,Pittsburgh,L,,,5,VCU,L,,,,,,,,,,,,,,,,,,,,
,,9,Wichita St.,W,,,4,Michigan,W,,,,,,,,,,,,,,,,,,,,
,,5,Wisconsin,L,,,11,Minnesota,L,,,,,,,,,,,,,,,,,,,,
,,12,Mississippi,W,,,3,Florida,W,,,,,,,,,,,,,,,,,,,,
,,4,Kansas St.,L,,,7,San Diego St.,L,,,,,,,,,,,,,,,,,,,,
,,13,La Salle,W,,,15,Florida Gulf Coast,W,,,,,,,,,,,,,,,,,,,,
,,6,Arizona,W,,East,1,Indiana,W,,,,,,,,,,,,,,,,,,,,
,,11,Belmont,L,,,9,Temple,L,,,,,,,,,,,,,,,,,,,,
,,3,New Mexico,L,,,12,California,L,,,,,,,,,,,,,,,,,,,,
,,14,Harvard,W,,,4,Syracuse,W,,,,,,,,,,,,,,,,,,,,
,,7,Notre Dame,L,,,6,Butler,L,,,,,,,,,,,,,,,,,,,,
,,10,Iowa St.,W,,,3,Marquette,W,,,,,,,,,,,,,,,,,,,,
,,2,Ohio St.,W,,,7,Illinois,L,,,,,,,,,,,,,,,,,,,,
,,15,Iona,L,,,2,Miami FL,W,,,,,,,,,,,,,,,,,,,,
,South,1,Kansas,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,Western Kentucky,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,North Carolina,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Villanova,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,VCU,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Akron,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Michigan,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,South Dakota St.,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,UCLA,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,Minnesota,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Florida,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,Northwestern St.,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,San Diego St.,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,Oklahoma,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Georgetown,L,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,Florida Gulf Coast,W,,,,,,,,,,,,,,,,,,,,,,,,,
