"","ID","location","Age","Sex","fWHR","Dom","Ext","Con","Agr","Neu","Opn","Subspecies","instrument"
"53","be2d0cd0","b9c70733",5,0,1.778846154,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
"54","be2d0cd0","b9c70733",6,0,1.689655172,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
"55","be2d0cd0","b9c70733",5,0,2.294117647,4.02222222226667,4.4666666667,4.59523809528571,2.94444444433333,3.6666666668,4.50000000025,"verus","07995578"
"56","ed2a8e42","b9c70733",21,0,1.383928571,4.35555555553333,4.2000000002,4.66666666664286,3.77777777783333,4.0666666668,4,"verus","07995578"
"57","ed2a8e42","b9c70733",20,0,1.85,4.35555555553333,4.2000000002,4.66666666664286,3.77777777783333,4.0666666668,4,"verus","07995578"
"58","182209f4","a7adef23",NA,1,1.761379,2.78,4.44833333333333,4.35833333333333,4.105,4.54,4.035,"troglodytes","99391edf"
"59","4b258b66","b9c70733",15,1,1.8,4.1555555556,3.5333333334,3.71428571435714,3.277777778,5.3333333334,3.33333333325,"verus","07995578"
"60","294200d9","9b783f03",38,1,1.937313433,3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,"hybrid","07995578"
"61","294200d9","9b783f03",38,1,1.937313433,4.26666666666667,4.275,5.35714285714286,4.625,3.4,3.875,"hybrid","07995578"
"62","294200d9","9b783f03",37,1,1.901162791,3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,"hybrid","07995578"
"63","294200d9","9b783f03",37,1,1.901162791,4.26666666666667,4.275,5.35714285714286,4.625,3.4,3.875,"hybrid","07995578"
"64","294200d9","9b783f03",33,1,1.651982379,3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,"hybrid","07995578"
"65","294200d9","9b783f03",33,1,1.651982379,4.26666666666667,4.275,5.35714285714286,4.625,3.4,3.875,"hybrid","07995578"
"66","294200d9","9b783f03",37,1,1.617957746,3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,"hybrid","07995578"
"67","294200d9","9b783f03",37,1,1.617957746,4.26666666666667,4.275,5.35714285714286,4.625,3.4,3.875,"hybrid","07995578"
"68","294200d9","9b783f03",35,1,1.53271028,3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,"hybrid","07995578"
"69","294200d9","9b783f03",35,1,1.53271028,4.26666666666667,4.275,5.35714285714286,4.625,3.4,3.875,"hybrid","07995578"
"70","294200d9","9b783f03",35,1,1.53909465,3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,"hybrid","07995578"
