"","ID","location","Age","Sex","fWHR","Dom","Ext","Con","Agr","Neu","Opn","Subspecies","instrument"
"242","baf969d7","9b783f03",17,1,1.555102041,5.43333333333333,4.6,5.64285714285714,4,2.8,4.125,"verus","07995578"
"243","baf969d7","9b783f03",20,1,1.349162011,5.43333333333333,4.6,5.64285714285714,4,2.8,4.125,"verus","07995578"
"244","baf969d7","9b783f03",20,1,1.365617433,5.43333333333333,4.6,5.64285714285714,4,2.8,4.125,"verus","07995578"
"245","baf969d7","9b783f03",20,1,1.524038462,5.43333333333333,4.6,5.64285714285714,4,2.8,4.125,"verus","07995578"
"246","baf969d7","9b783f03",20,1,1.381642512,5.43333333333333,4.6,5.64285714285714,4,2.8,4.125,"verus","07995578"
"247","4ff1ee61","9b783f03",44,0,2.216738197,4.66666666666667,4.9,5.85714285714286,4.58333333333333,3.1,4.625,"verus","07995578"
"248","4ff1ee61","9b783f03",43,0,1.781021898,4.66666666666667,4.9,5.85714285714286,4.58333333333333,3.1,4.625,"verus","07995578"
"249","4ff1ee61","9b783f03",44,0,2.153518124,4.66666666666667,4.9,5.85714285714286,4.58333333333333,3.1,4.625,"verus","07995578"
"250","4ff1ee61","9b783f03",41,0,1.888888889,4.66666666666667,4.9,5.85714285714286,4.58333333333333,3.1,4.625,"verus","07995578"
"251","4ff1ee61","9b783f03",43,0,1.769230769,4.66666666666667,4.9,5.85714285714286,4.58333333333333,3.1,4.625,"verus","07995578"
"252","4ff1ee61","9b783f03",44,0,2.066508314,4.66666666666667,4.9,5.85714285714286,4.58333333333333,3.1,4.625,"verus","07995578"
"253","1cf66cf3","a7adef23",NA,1,1.521087,4.19625,4.49666666666667,4.11333333333333,4.52,3.95,3.99,"troglodytes","99391edf"
"254","db4fb636","b9c70733",28,0,2.306451613,4.22222222206667,4.9666666666,4.54761904764286,4.66666666666667,4.7333333332,4.58333333325,"hybrid","07995578"
"255","884834a4","a7adef23",NA,0,1.22752,3.5075,4.28333333333333,4.82,4.665,3.64,5.32,"troglodytes","99391edf"
"256","7d40b312","b9c70733",39,0,2.333333333,4.2444444444,3.3333333333,3.5714285715,3.05555555566667,4.6,3.75,"verus","07995578"
"257","2e473180","a7adef23",NA,1,1.504296,4.54875,4.96166666666667,4.02833333333333,4.5,3.84,4.125,"troglodytes","99391edf"
"258","2e473180","a7adef23",NA,1,NA,4.54875,4.96166666666667,4.02833333333333,4.5,3.84,4.125,"troglodytes","99391edf"
"259","4c20ba3f","9b783f03",17,1,1.623430962,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"260","4c20ba3f","9b783f03",20,1,1.62295082,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"261","4c20ba3f","9b783f03",18,1,1.376923077,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"262","4c20ba3f","9b783f03",17,1,1.529190207,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"263","4c20ba3f","9b783f03",18,1,1.448275862,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"264","4c20ba3f","9b783f03",18,1,1.412698413,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"265","4c20ba3f","9b783f03",16,1,1.426315789,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"266","4c20ba3f","9b783f03",18,1,1.292035398,4.76666666666667,4.35,4.07142857142857,3.70833333333333,3.8,3.1875,"hybrid","07995578"
"267","1f2738ad","a7adef23",NA,1,1.62753,5.06,4.795,3.19333333333333,4.34,4.65333333333333,4.21,"troglodytes","99391edf"
