"","ID","lower.face","face.height","lffh"
"1","Cindy",84.8999411071645,327.416019766901,0.259302953983765
"2","Cindy",150.083310198036,525.023808983936,0.285860007927047
"3","Cindy",233.420221917468,838.000596658499,0.278544219238296
"4","Cindy",144.931018074117,671.780470094212,0.215741636629882
"5","Cindy",189.066125998287,650.602797411754,0.290601464903678
"6","Cindy",141.598022585063,431.422067122209,0.328212285313983
"7","David",86.6833317310773,358.503835404867,0.24179192290421
"8","David",39.0216606514894,163.318492523045,0.238929836105261
"9","David",89.0084265673762,376.777454208715,0.236236074035551
"10","David",215.281211442151,872.482091506754,0.24674570806418
"11","David",120.260134708057,330.463689382056,0.363913309002072
"12","David",233.623628941937,664.830805543786,0.351403134442377
"13","Edith",170.011764298827,580.417091409273,0.292913090973997
"14","Edith",78.3134726595622,283.451935960931,0.276284839593956
"15","Edith",29.9392718682335,105.020569413806,0.285080075601816
"16","Edith",240.102061632132,586.586736979281,0.40932064517615
"17","Edith",NA,NA,NA
"18","Edith",NA,NA,NA
"19","Edith",NA,NA,NA
"20","Edith",334.598266582479,906.496552668569,0.369111460597925
"21","Edith",293.783934210161,855.036841311531,0.343592135468138
"22","Edith",NA,NA,NA
"23","Edith",356.275174549112,888.297810421708,0.401076272359576
"24","Edith",NA,877.415522999223,NA
"25","Emma",31.5417184059461,110.573957150859,0.285254495892852
"26","Emma",102.489023802552,363.088143568473,0.282270367727455
"27","Emma",61.6786024484991,364.250257378083,0.169330292015355
"28","Emma",30.9919344346235,176.659276574993,0.17543338247209
"29","Emma",143.087385887086,855.532582664155,0.167249487379555
"30","Eva",52.4775189962331,189.603612834777,0.276774889526829
"31","Eva",39.478221844455,192.397349254089,0.205191090196976
"32","Eva",26.2030532572065,86.0671830606765,0.304448830848032
"33","Eva",181.052975672868,11379.2252187924,0.0159108350693214
"34","Eva",73.8829479650074,225.664108798896,0.327402298745031
"35","Eva",203.946855822785,617.184866956409,0.33044694830016
"36","Eva",168.06335115069,619.478562986646,0.271298090349435
"37","Eva",178.242783865154,623.92770414528,0.285678585324768
"38","Frek",11.8105884696742,56.0650515026964,0.210658657276113
"39","Frek",70.0071424927486,322.386414105806,0.217152893017919
"40","Frek",147.492372684149,458.41575016572,0.321743684921013
"41","Frek",121,493,0.245436105476673
"42","Frek",297.018938790105,868.514248587782,0.341985107639929
"43","Frek",220.581050863396,822.411089419397,0.268212641708322
"44","Frek",151.74320413119,731.021887497221,0.207576827351516
"45","Heleen",28.4429253066558,114.629839047257,0.24812845889917
"46","Heleen",81.0246875958186,267.001872652609,0.30346112104329
"47","Heleen",152.74161188098,505.261318527354,0.302302207353146
"48","Kilimi",66.2721661031236,262.550947436874,0.252416404321137
"49","Kilimi",90.7964757025293,274.505009061766,0.330764367516876
"50","Kilimi",33.0605505096331,128.390030765632,0.257500915861474
"51","Kilimi",138.293166859393,574.634666549104,0.240662763508327
"52","Kilimi",144.837840359486,565.023893300097,0.256339319587958
"53","Kilimi",114.263073650239,361.235352644228,0.316311991098983
"54","Kilimi",297.139697785402,779.698659739774,0.381095560539469
"55","Kilimi",316.93847983481,767.428172534733,0.412987809384161
"56","Kilimi",316.621224809709,777.362206439186,0.407302055833194
"57","Kilimi",330.800544134982,815.321409016101,0.40573023163243
"58","Kindia",201.159140980468,665.027067118324,0.302482637063369
"59","Kindia",201.002487546796,669.006726423584,0.300449127950219
"60","Kindia",201.121853611188,655.037403512196,0.307038731731665
"61","Kindia",81.8122851410471,359.855873927327,0.227347366177964
"62","Kindia",41.7748728304468,179.044687159379,0.233320929502143
"63","Kindia",195.655309153624,674.047476072717,0.290269329830583
"64","Kindia",145.64683312726,558.144246588639,0.260948373144486
"65","Kindia",144.931018074117,560.393611669512,0.258623608578159
"66","Kindia",143.61058456813,718.961751416583,0.199747183052744
"67","Kindia",179.270744964146,760.181557261158,0.235826222369873
"68","Lianne",101.004950373732,595.084027680125,0.169732249019503
"69","Lianne",72.5672102261069,311.00643080168,0.233330256352098
"70","Lianne",161.372240487638,810.698464288665,0.199053344240921
"71","Lianne",NA,61.1882341631134,NA
"72","Lianne",107.116758726168,623.231899055239,0.171873036166067
"73","Lianne",113.282831885507,632.038764633942,0.179233993584423
"74","Lianne",159.06366649867,668.242845079541,0.238032726679978
"75","Lianne",196.499363866655,646.223645497439,0.304073311516475
"76","Lianne",173.288776324377,516.008720856537,0.335825286124487
"77","Lianne",146.413797164065,10172.1975993391,0.0143935266430115
"78","Lianne",171.828402774396,509.825460329317,0.337033781450234
"79","Liberius",89.3430467356023,390.448063127479,0.228821846419129
"80","Liberius",206.649461649432,1024.03124952318,0.201799956540052
"81","Liberius",193.545860198559,1034.10831154188,0.187162077742105
"82","Liberius",194.257560985409,1011.66199889093,0.192018244431806
"83","Liberius",172.418096498018,1002.045907132,0.172066065307829
"84","Liberius",309.270108481243,1115.61462880333,0.277219481079217
"85","Liberius",70.7515370857765,390.907380334524,0.180993096178512
"86","Liberius",29.0043100245464,168.411697930993,0.172222656625853
"87","Liberius",94.4589328756153,520.000471153633,0.181651629403443
"88","Liberius",107.298648640139,543.486890366272,0.197426378707732
"89","Louis",79.4894961614425,342.0293116094,0.232405508719148
"90","Louis",147.424726555622,418.472197403842,0.352292762745602
"91","Louis",71.7809166840324,304.076470645132,0.236062055481442
"92","Louis",239.1338537305,509.061882289374,0.469753996616398
"93","Louis",113.003451274729,471.953302774756,0.239437780412485
"94","Louis",59.7978260474409,180.69103464201,0.330939640507975
"95","Louis",123.704850349532,397.942269682425,0.310861297665747
