"monkey, photo id",A,B,C,D,E,F,G
23694,"561, 425","516, 990","545, 434","692, 453","301, 467","872, 516","523, 893"
23748,"819, 726","789, 1884","603, 789","1056, 795","291, 882","1410, 891","783, 1593"
23753,?,,,,,,
23781,"706, 488","592, 1288","540, 508","896, 562","332, 538","1102, 672","616, 1130"
23844,?,,,,,,
23891,?,,,,,,
23900,"567, 193.5","555, 802.5","441, 279","688.5, 280.5","285, 334.5","870, 348","553.5, 646.5"
26588,"736, 338","690, 1108","542, 348","928, 368","288, 430","1176, 452","708, 806"
26595,"843, 540","714, 1249.5","669, 483","1024.5, 564","364.5, 486","1230, 664.5","751.5, 1050"
26596,"724.5, 411","838.5, 1044","559.5, 456","885, 408","367.5, 358.5","1042.5, 426","828, 885"
26611,"478.8, 321.2","447.5, 762.5","371.2, 312.5","592.5, 325","245, 360","706.2, 373.8","451.2, 661.2"
26865,"588.8, 397.5","591.2, 925","446.2, 407.5","596.2, 398.8","268.8, 451.2","816.2, 428.8","597.5, 788.8"
27375,"1098, 786","1311, 2340","756, 918","1545, 732","393, 1215","2049, 768","1182, 1773"
29439,"1048, 482","916, 1608","744, 494","1248, 562","388, 542","1518, 684","988, 1322"
29444,rm,rm,"1048, 1016","2032, 920","464, 1272","2632, 1024","1832, 2500"
30107,?,,,,,,
30110,?,,,,,,
30326,"621, 280.5","465, 931.5","478.5, 291","768, 355.5","306, 336","936, 447","501, 732"
30333,"567, 447","528, 976.5","441, 441","709.5, 466.5","270, 456","879, 522","538.5, 832.5"
30583,?,,,,,,
30585,"1149, 819","1137, 2388","753, 861","1509, 867","270, 1002","1932, 975","1167, 1875"
