Day,Month,Year,Observer ID,Start Time,Duration ,Aggression,Victim 1,Support,Supporter 1,Supporter 2,Supporter 3,Supporter 4,Supporter 5,Supporter 6,Dyadic +,Context,Aggressor ,Support,Support 1,Support 2,Support 3,Support 4,Support 5,Contact ,Directed non-contact,Display,Decided interaction,Notes,,,,,,,,
Day,Month,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aug,2012,CB,11:02,18,y,RE,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,Y,PA,,,,,N,Y,N,N,,,,,,,,,
20,Aug,2012,CB,11:45,26,Y,PA,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,EV,Y,RE,,,,,N,Y,N,N,"EV chased PA out of the tunnels and along the poles arms raised vocalising, no actual contact with PA just slapping poles.",,,,,,,,
20,Aug,2012,CB,11:45,26,Y,ED,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,KD,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,KD repeatedly chased ED around pod 1 ocasionally slapping her bum,,,,,,,,
21,Aug,2012,CB,15:38,27,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB ,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"LB charged and displaced KL, not directed at her though.",,,,,,,,
23,Aug,2012,CB,15:29,26,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Aug,2012,CB,10:43,30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Aug,2012,CB,11:49,29,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Aug,2012,CB,12:34,24,Y,LU,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,"FK ran at her arms raised with lots of vocalisation, no actual contact.",,,,,,,,
28,Aug,2012,CB,13:13,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,PA,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"PA swung from ropes repeatedly, vocalising and banged the glass 6 times followed by running through the pod with arms raised vocalising, this caused RE and KD to start vocalising and run around the od with arms raised.",,,,,,,,
28,Aug,2012,CB,13:13,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,KD,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"Ran through pod with arms raised vocalising in resonse to PA vocalising, swinging and banging the glass.",,,,,,,,
28,Aug,2012,CB,13:13,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"Ran through pod with arms raised vocalising in resonse to PA vocalising, swinging and banging the glass.",,,,,,,,
28,Aug,2012,CB,13:13,33,Y,ED,Y,SO,,,,,,Y,UNK,PA,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,N,,,,,,,,,
29,Aug,2012,CB,11:11,27,Y,LY,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"Q ranaround pod with hair erect vocalising, no actual contact but displaced HL, CI and FK",,,,,,,,
29,Aug,2012,CB,12:10,17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Aug,2012,CB,16:09,21,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sep,2012,CB,11:01,23,Y,HL,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,"ED slapped HL and ran outside , HL chased her to the doorway",,,,,,,,
4,Sep,2012,CB,11:01,23,Y,ED,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,HL,N,N/A,N/A,N/A,N/A,N/A,Y,N,N,Y,"ED slapped HL and ran outside , HL chased her to the doorway",,,,,,,,
4,Sep,2012,CB,11:31,28,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"RE ;paced up and down outside theatre window with teeth clenched and bottom lip sagging, hair rect, not directed at anyone in particular",,,,,,,,
4,Sep,2012,CB,12:16,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sep,2012,CB,15:42,24,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,KD,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"KD ran around the pod, vocalising and swinging branches - not directed at a particular individual",,,,,,,,
7,Sep,2012,CB,15:46,21,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sep,2012,CB,14:14,26,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sep,2012,CB,15:40,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sep,2012,CB,15:43,11,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"ED ran through pod with arms raised, vocalising culminating in banging the window, no contact with other chimps",,,,,,,,
13,Sep,2012,CB,15:43,11,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,Y,LB,KD,PA,,,N,N,Y,N,"Q, LB, KD & PA all charged to the pod doorway following some vocalisation from the bedding area",,,,,,,,
13,Sep,2012,CB,15:43,11,Y,PA,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,FK ran towards PA with arms up they then vocalised at each other but no actual contact occured,,,,,,,,
13,Sep,2012,CB,15:43,11,Y,LI,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,ED,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,"ED ran toards LI with arms up, no actual contact ocuured but Li approached her and presented her hand (submissive)",,,,,,,,
13,Sep,2012,CB,15:43,11,Y,KL,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB,N,N/A,N/A,N/A,N/A,N/A,N,Y,N,N,"LB chraged at KL, no actual contact occured",,,,,,,,
13,Sep,2012,CB,15:43,11,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,COMF,LO,Y,FK,,,,,N,N,Y,N,"LO vocilised and charged at window, LI & ED then approached him submissively",,,,,,,,
13,Sep,2012,CB,15:43,11,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,COMF,FK,Y,LO,,,,,N,N,Y,N,"FK vocilised and charged at window, LI & ED then approached him submissively",,,,,,,,
13,Sep,2012,CB,15:55,30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sep,2012,CB,15:42,12,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"FK vocalised, charged and banged door",,,,,,,,
18,Sep,2012,CB,13:00,34,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sep,2012,CB,13:40,14,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"FK charged while vocalising with arms up followed by a ground slap, no contact with chimps, but displaced LU and EM responded by vocalising and ground slapping",,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,Q,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,Q charged and banged the door while vocalising,,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LO,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"LO vocalised and swung his arms around, not directed at a particular individual but displaced CI",,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,PA,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,PA vocalised and charged banging on the wall and displaced CI,,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,FK vocalised and charged banging on the wall and displaced EV,,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LB,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,LB charged not directed at anyone but LY responded by vocalising,,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,Y,RE,,,,,N,N,Y,N,"FK & RE charged, vocalised and banged the wall, not directed at anyone but displaced KD",,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,Y,FK,,,,,N,N,Y,N,"FK & RE charged, vocalised and banged the wall, not directed at anyone but displaced KD",,,,,,,,
20,Sep,2012,CB,10:50,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,FK,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,FK ran and banged the door and KD responded by vocalising,,,,,,,,
20,Sep,2012,CB,12:57,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sep,2012,CB,13:44,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sep,2012,CB,11:20,21,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sep,2012,CB,12:44,33,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,PA,N,N/A,N/A,N/A,N/A,N/A,N,N,Y,N,"Following LB mating with HL, PA charged around pod, not directed at anyone but it displaced HL, LY & KL",,,,,,,,
25,Sep,2012,CB,13:47,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sep,2012,CB,14:24,14,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,RE,Y,LO,,,,,N,N,Y,N,"Following alot of vocolisation from the bedding area RE & LO charged not directed at anyone but displaced CI, ED, EV, DA & SO",,,,,,,,
25,Sep,2012,CB,14:24,14,Y,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,UNK,LO,Y,RE,,,,,N,N,Y,N,"Following alot of vocolisation from the bedding area RE & LO charged not directed at anyone but displaced CI, ED, EV, DA & SO",,,,,,,,
25,Sep,2012,CB,16:45,13,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sep,2012,CB,13:50,18,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sep,2012,CB,14:19,10,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sep,2012,CB,10:55,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oct,2012,CB,13:09,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sep,2012,RB,09:50,33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sep,2012,RB,10:27,32,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
