"","Group.1","Chimp","Rater","Q.day","Q.month","Q.year","Known.day","K.month","K.year","Known.months","Q1","Q2","Q3","Q4.1","Q4.2","Q5","Q6.1","Q6.2","Q7","Q8","Q9","Q10","SWB.Day","SWB.Month","SWB.Year","SWB.Q1","SWB.Q2","SWB.Q3","SWB.Q4","Welfare.comments","X1","X2","X3","X4.1","X4.2","X5","X6.1","X6.2","Positive","X7.comments","Negative","X8.comment","X9","X10","Freq"
"15","Kindia",NA,NA,13.6666666666667,9,2014,NA,NA,NA,17,4.33333333333333,3,4,4,4,4,4,2.66666666666667,3.66666666666667,2,3.66666666666667,3.33333333333333,13.6666666666667,9,2014,4.66666666666667,4.33333333333333,4.66666666666667,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"16","Lianne",NA,NA,5,9.33333333333333,2014,NA,NA,NA,17.6666666666667,3,3,2.66666666666667,2.66666666666667,3,3.44444444444444,3.66666666666667,2.66666666666667,3.33333333333333,3,3,2.33333333333333,5,9.33333333333333,2014,3.33333333333333,3.66666666666667,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"17","Liberius",NA,NA,6.33333333333333,9.66666666666667,2014,NA,NA,NA,21,3.66666666666667,3.33333333333333,3.33333333333333,2.66666666666667,3,3.33333333333333,3.33333333333333,2.66666666666667,4,3.33333333333333,2.66666666666667,3,10.3333333333333,10,2014,4,3.66666666666667,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"18","Louis",NA,NA,12.6666666666667,9.66666666666667,2014,NA,NA,NA,61,3.66666666666667,2.33333333333333,4,3.66666666666667,3.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,4,2,4,3,9,9,2014,4.66666666666667,5,5.66666666666667,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"19","Lucy",NA,NA,5.66666666666667,9.33333333333333,2014,NA,NA,NA,61,2,2,4.33333333333333,4,4.33333333333333,3.33333333333333,3.66666666666667,3.33333333333333,4,2,3.33333333333333,3.33333333333333,8.33333333333333,6.66666666666667,2014,5,5.33333333333333,5.66666666666667,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"20","Marco",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.57142857142857,3.07142857142857,4.5,4.28571428571429,4.21428571428571,3.78571428571429,3.57142857142857,4.14285714285714,4.35714285714286,1.85714285714286,4.28571428571429,4.35714285714286,NA,NA,NA,5.5,5.78571428571429,5.71428571428571,5.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"21","Nico",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,2,3,4.14285714285714,4.14285714285714,4.14285714285714,3.42857142857143,3.42857142857143,3.78571428571429,3.78571428571429,2.35714285714286,4.42857142857143,4.28571428571429,NA,NA,NA,5.42857142857143,5.5,5.5,4.92857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"22","Paul",NA,NA,4,9.33333333333333,2014,NA,NA,NA,17.6666666666667,3.33333333333333,2.66666666666667,3,2.66666666666667,3,2.77777777777778,3,2.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,3.15744680851064,7,6.66666666666667,2014,3.66666666666667,4.33333333333333,4.66666666666667,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"23","Pearl",NA,NA,15.3333333333333,9.33333333333333,2014,NA,NA,NA,21,3,4,2,2.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,2,3.66666666666667,3.33333333333333,2.33333333333333,2.33333333333333,11.6666666666667,10,2014,4,3.66666666666667,4,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"24","Qafzeh",NA,NA,12.6666666666667,9,2014,NA,NA,NA,17,4.66666666666667,2.66666666666667,4.33333333333333,4,4,4,3.66666666666667,4,4,2,4.33333333333333,3.66666666666667,12.6666666666667,9,2014,5.33333333333333,5.33333333333333,6.66666666666667,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"25","Rene",NA,NA,13.3333333333333,9.33333333333333,2014,NA,NA,NA,21,4,3,3,4.33333333333333,4.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,4,3.66666666666667,3.33333333333333,2.66666666666667,9.66666666666667,10,2014,6,6,4,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"26","Sofie",NA,NA,14.6666666666667,9,2014,NA,NA,NA,17,3.33333333333333,4,2.66666666666667,3,3.33333333333333,3.66666666666667,3.66666666666667,2.66666666666667,3,3.66666666666667,2.66666666666667,2.33333333333333,14.6666666666667,9,2014,4.33333333333333,3.66666666666667,4,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"27","Tico",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.92857142857143,2.71428571428571,2.85714285714286,1.85714285714286,2.07142857142857,1.64285714285714,2.21428571428571,1.85714285714286,2.42857142857143,3.5,2.71428571428571,2.57142857142857,NA,NA,NA,2.21428571428571,2.57142857142857,3.78571428571429,2.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"28","Tom",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.85714285714286,3.21428571428571,1.71428571428571,1.71428571428571,2.07142857142857,2.78571428571429,1.92857142857143,1.78571428571429,2.28571428571429,3.92857142857143,1.92857142857143,1.78571428571429,NA,NA,NA,2.35714285714286,2.5,2.78571428571429,1.92857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"29","Toni",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,3.07142857142857,3.14285714285714,3,2.92857142857143,2.64285714285714,2.85714285714286,2.78571428571429,2.07142857142857,3.07142857142857,2.78571428571429,3.21428571428571,3.42857142857143,NA,NA,NA,4.07142857142857,3.85714285714286,3.78571428571429,3.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"30","Victor",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,2.64285714285714,3,3,3.07142857142857,3.35714285714286,3.07142857142857,3.14285714285714,3.14285714285714,3.35714285714286,3.42857142857143,3.5,3.21428571428571,NA,NA,NA,4.21428571428571,4.78571428571429,4.14285714285714,3.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"31","Waty",NA,NA,17.5,4.21428571428571,2015,NA,NA,NA,8.28571428571429,4.42857142857143,3.5,4,4.07142857142857,3.92857142857143,3.5,3.5,4,4,2,4.28571428571429,4.21428571428571,NA,NA,NA,5.28571428571429,5.42857142857143,5.64285714285714,5.35714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
