Rhesus,Date Day,Date Month,Date Year,Dob day,Dob month,Dob year,Sex,Dominance status,Facility,Nursey
IN294525,30,9,2014,15,5,2007,F,,UQ6934,
IB117312,30,9,2014,1,7,2007,F,,UQ6934,
VE565635,30,9,2014,27,8,2007,F,,UQ6934,
PU287487,30,9,2014,3,7,2008,F,,UQ6934,
FR738812,30,9,2014,15,3,2008,F,,UQ6934,
VN248945,30,9,2014,25,3,2005,M,,UQ6934,
CK466436,30,9,2014,3,4,2008,M,,UQ6934,
IH262719,30,9,2014,14,3,2011,M,,UQ6934,
WX215574,30,9,2014,25,2,2010,F,,UQ6934,
RX566569,30,9,2014,4,7,2011,F,,UQ6934,
UD298756,30,9,2014,7,6,2011,F,,UQ6934,
EY496574,30,9,2014,12,7,2011,F,,UQ6934,
RW184092,30,9,2014,25,7,2011,M,,UQ6934,
