Animal,Rater,Date,Facility,Fearful,Dominant,Cautious,Curious,Innovative,Bullying,Submissive,Cool,Quitting,Erratic,Anxious,Socially withdrawn,Stable,Autistic,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Active,Helpful,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Conventional,Sensitive,Defiant,Intelligent,Protective,Inventive,Clumsy,Friendly,Lazy,Disorganized,Unemotional,Imitative,Independent,Persistent
GX358062,RW5,30/09/2014,UQ6934,7,1,6,5,1,1,5,3,4,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT662786,SX1,30/09/2014,UQ6934,1,4,5,3,1,1,3,7,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT662786,RW5,30/09/2014,UQ6934,1,4,4,5,1,2,3,6,4,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL863218,SX1,30/09/2014,UQ6934,4,5,2,2,3,1,3,5,5,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL863218,RW5,30/09/2014,UQ6934,5,4,5,2,1,3,5,3,4,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW864733,SX1,30/09/2014,UQ6934,1,7,1,3,3,3,1,4,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW864733,RW5,30/09/2014,UQ6934,4,7,4,5,1,6,1,6,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW727532,SX1,30/09/2014,UQ6934,1,4,2,2,2,5,3,2,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW727532,RW5,30/09/2014,UQ6934,1,7,2,7,1,7,2,6,1,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB206713,SX1,30/09/2014,UQ6934,2,6,4,4,3,3,2,5,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB206713,RW5,30/09/2014,UQ6934,1,6,6,6,1,6,3,5,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZA269132,RW5,30/09/2014,UQ6934,6,3,6,3,1,1,6,4,3,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO265798,SX1,30/09/2014,UQ6934,2,2,3,5,2,3,4,4,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO265798,RW5,30/09/2014,UQ6934,4,6,4,3,1,6,3,5,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN294525,SX1,30/09/2014,UQ6934,3,3,2,3,2,5,4,3,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN294525,RW5,30/09/2014,UQ6934,6,2,5,2,1,1,6,2,5,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB117312,SX1,30/09/2014,UQ6934,3,4,2,5,2,2,4,5,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB117312,RW5,30/09/2014,UQ6934,5,2,6,7,1,1,6,4,1,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VE565635,SX1,30/09/2014,UQ6934,2,3,5,4,3,2,5,5,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VE565635,RW5,30/09/2014,UQ6934,3,3,6,4,2,6,3,3,1,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PU287487,SX1,30/09/2014,UQ6934,2,2,4,6,3,1,5,5,4,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PU287487,RW5,30/09/2014,UQ6934,4,2,4,3,1,2,5,4,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR738812,SX1,30/09/2014,UQ6934,1,3,5,1,2,1,4,7,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR738812,RW5,30/09/2014,UQ6934,5,3,6,4,1,3,5,6,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN248945,SX1,30/09/2014,UQ6934,1,7,1,6,2,3,1,6,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN248945,RW5,30/09/2014,UQ6934,1,7,2,6,1,7,1,7,1,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK466436,SX1,30/09/2014,UQ6934,1,5,4,7,4,2,3,6,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK466436,RW5,30/09/2014,UQ6934,2,6,5,6,1,5,2,5,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IH262719,SX1,30/09/2014,UQ6934,2,4,2,6,4,1,2,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IH262719,RW5,30/09/2014,UQ6934,2,4,5,7,5,5,4,4,6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WX215574,SX1,30/09/2014,UQ6934,3,3,4,5,4,3,5,4,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WX215574,RW5,30/09/2014,UQ6934,2,5,4,7,5,4,4,3,6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX566569,SX1,30/09/2014,UQ6934,3,2,3,6,5,2,5,5,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX566569,RW5,30/09/2014,UQ6934,3,3,4,7,6,7,4,4,6,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UD298756,SX1,30/09/2014,UQ6934,2,2,1,6,3,1,2,3,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UD298756,RW5,30/09/2014,UQ6934,4,3,4,3,6,2,4,4,5,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EY496574,SX1,30/09/2014,UQ6934,3,2,3,7,4,2,5,3,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EY496574,RW5,30/09/2014,UQ6934,4,2,3,6,5,4,5,4,6,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW184092,SX1,30/09/2014,UQ6934,3,4,3,6,5,5,4,4,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW184092,RW5,30/09/2014,UQ6934,3,6,6,7,4,7,4,4,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE664810,BT2,27/06/2014,UQ6934,3,6,2,5,4,6,2,5,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE664810,DQ3,28/06/2014,UQ6934,5,1,2,6,4,2,7,2,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF986386,BT2,05/06/2014,UQ6934,2,6,4,5,4,5,3,5,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF986386,JP0,25/06/2014,UQ6934,5,2,4,3,4,3,6,2,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF986386,CQ1,23/06/2014,UQ6934,4,5,5,6,4,4,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ261036,BT2,30/05/2014,UQ6934,2,5,2,7,5,5,3,6,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ261036,EV0,23/06/2014,UQ6934,3,3,6,5,4,2,5,6,6,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF788277,BT2,27/06/2014,UQ6934,5,4,6,5,4,4,4,3,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF788277,EV0,24/06/2014,UQ6934,5,1,6,2,1,1,7,2,2,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC247311,BT2,30/05/2014,UQ6934,5,3,4,4,2,3,5,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC247311,QM3,20/06/2014,UQ6934,5,2,6,5,3,1,6,5,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC247311,EV0,23/06/2014,UQ6934,1,4,1,7,6,4,5,6,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD267893,BT2,27/06/2014,UQ6934,6,2,6,5,2,2,7,2,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD267893,DQ3,28/06/2014,UQ6934,1,1,5,2,6,1,7,6,1,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC961667,BT2,05/06/2014,UQ6934,6,2,6,4,2,2,6,2,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC961667,CQ1,23/06/2014,UQ6934,3,3,4,5,5,3,4,5,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK867233,BT2,27/06/2014,UQ6934,6,5,6,4,4,6,5,1,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK867233,DQ3,28/06/2014,UQ6934,3,5,4,5,3,5,3,1,6,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW494999,BT2,05/06/2014,UQ6934,4,6,2,5,3,6,1,5,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW494999,QM3,20/06/2014,UQ6934,2,5,2,5,5,3,2,7,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW494999,EV0,23/06/2014,UQ6934,1,7,1,5,3,7,1,2,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA955373,BT2,27/06/2014,UQ6934,3,2,3,5,2,2,6,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA955373,DQ3,28/06/2014,UQ6934,3,2,5,5,2,1,6,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX901937,BT2,27/06/2014,UQ6934,4,4,5,5,5,4,4,3,5,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX901937,DQ3,28/06/2014,UQ6934,4,4,5,4,5,2,4,3,5,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA616516,BT2,05/06/2014,UQ6934,4,5,3,7,6,5,2,1,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA616516,CQ1,24/06/2014,UQ6934,5,3,5,5,4,2,5,3,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA616516,JP0,05/07/2014,UQ6934,2,4,3,5,3,3,4,4,3,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP128397,BT2,05/06/2014,UQ6934,5,1,6,3,2,1,7,1,4,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP128397,QM3,20/06/2014,UQ6934,5,2,5,4,4,2,6,4,5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP128397,EV0,25/06/2014,UQ6934,6,1,2,6,5,1,7,5,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH361455,BT2,05/06/2014,UQ6934,7,1,7,1,1,1,7,2,7,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH361455,CQ1,24/06/2014,UQ6934,4,5,4,5,4,5,4,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD733323,BT2,30/05/2014,UQ6934,1,7,2,7,4,7,1,7,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD733323,QM3,20/06/2014,UQ6934,3,6,2,6,6,4,2,6,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD733323,EV0,24/06/2014,UQ6934,1,6,2,4,3,7,1,2,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR319820,BT2,05/06/2014,UQ6934,1,7,2,7,4,6,1,6,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR319820,JP0,25/06/2014,UQ6934,2,4,5,7,3,5,4,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR319820,CQ1,23/06/2014,UQ6934,1,6,2,3,2,6,2,6,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR908721,BT2,05/06/2014,UQ6934,6,1,6,3,2,2,7,2,5,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR908721,CQ1,24/06/2014,UQ6934,4,3,5,4,4,3,5,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR908721,JP0,05/07/2014,UQ6934,4,4,3,5,4,3,3,3,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT369149,BT2,30/05/2014,UQ6934,3,4,3,5,2,5,4,4,4,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT369149,EV0,23/06/2014,UQ6934,4,3,5,3,3,2,6,3,4,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR216141,BT2,30/05/2014,UQ6934,5,2,5,3,4,2,6,3,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR216141,EV0,24/06/2014,UQ6934,5,1,5,5,2,1,6,2,4,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR216141,QM3,03/07/2014,UQ6934,3,2,6,4,3,1,6,4,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD584564,BT2,27/06/2014,UQ6934,5,5,3,5,2,5,5,5,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD584564,DQ3,28/06/2014,UQ6934,3,5,5,3,5,2,5,6,3,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY472369,BT2,30/05/2014,UQ6934,5,2,6,4,2,3,2,4,2,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY472369,EV0,24/06/2014,UQ6934,5,1,5,5,5,1,6,3,2,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE597180,BT2,27/06/2014,UQ6934,1,7,2,5,4,6,2,5,5,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE597180,DQ3,15/06/2014,UQ6934,2,5,1,7,5,3,4,3,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR477814,BT2,27/06/2014,UQ6934,1,7,1,6,7,6,1,7,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR477814,DQ3,15/06/2014,UQ6934,4,5,3,6,6,3,4,3,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP333192,BT2,30/05/2014,UQ6934,7,1,7,1,1,1,7,6,5,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP333192,QM3,20/06/2014,UQ6934,6,1,6,4,3,1,7,4,4,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP333192,EV0,23/06/2014,UQ6934,5,2,6,6,2,1,6,2,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT847018,BT2,27/06/2014,UQ6934,4,3,4,5,4,4,5,4,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT847018,DQ3,29/06/2014,UQ6934,6,1,7,3,1,1,7,3,6,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH739364,BT2,27/06/2014,UQ6934,6,2,6,3,2,4,5,2,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH739364,DQ3,15/06/2014,UQ6934,3,3,5,5,4,3,5,2,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB777214,BT2,27/06/2014,UQ6934,1,7,1,6,5,6,1,7,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB777214,DQ3,15/06/2014,UQ6934,2,7,5,6,5,6,1,3,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD711075,BT2,05/06/2014,UQ6934,1,7,1,7,4,7,2,4,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD711075,QM3,20/06/2014,UQ6934,3,6,3,6,5,6,2,3,4,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD711075,EV0,23/06/2014,UQ6934,2,6,5,6,3,6,4,3,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS927367,BT2,05/06/2014,UQ6934,5,2,6,5,3,2,6,3,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS927367,CQ1,23/06/2014,UQ6934,4,4,5,3,4,3,5,6,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS927367,JP0,05/07/2014,UQ6934,4,3,3,4,2,2,5,3,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC535312,BT2,27/06/2014,UQ6934,6,1,6,3,2,1,7,2,5,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC535312,DQ3,15/06/2014,UQ6934,4,5,3,5,4,5,3,4,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS303048,BT2,05/06/2014,UQ6934,3,5,5,5,4,5,4,4,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS303048,JP0,25/06/2014,UQ6934,5,2,5,4,3,2,5,2,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS303048,CQ1,23/06/2014,UQ6934,5,4,5,6,4,3,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST975353,BT2,30/05/2014,UQ6934,7,2,6,2,1,2,7,1,6,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST975353,EV0,24/06/2014,UQ6934,6,2,7,1,4,1,7,1,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST975353,QM3,03/07/2014,UQ6934,6,1,6,5,4,1,7,5,5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY662659,BT2,27/06/2014,UQ6934,4,4,5,5,4,5,5,3,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY662659,DQ3,15/06/2014,UQ6934,2,3,4,5,4,3,3,2,2,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC311114,BT2,30/05/2014,UQ6934,4,4,4,7,5,4,4,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC311114,QM3,20/06/2014,UQ6934,5,1,5,5,5,1,6,5,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC311114,EV0,23/06/2014,UQ6934,1,6,2,4,6,5,3,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WN712323,BT2,05/06/2014,UQ6934,2,6,6,3,1,4,1,5,5,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WN712323,JP0,25/06/2014,UQ6934,1,7,4,2,2,6,1,6,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WN712323,CQ1,23/06/2014,UQ6934,1,7,1,5,4,6,1,5,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XC973450,BT2,30/05/2014,UQ6934,5,1,6,1,1,1,7,4,4,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XC973450,QM3,20/06/2014,UQ6934,5,2,5,3,3,1,7,4,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XC973450,EV0,24/06/2014,UQ6934,5,1,5,2,1,1,5,6,5,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XM666658,BT2,27/06/2014,UQ6934,1,6,2,7,4,5,2,6,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XM666658,DQ3,28/06/2014,UQ6934,2,4,3,6,5,5,3,5,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XT321236,BT2,27/06/2014,UQ6934,5,1,6,5,3,3,6,3,4,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YV313128,BT2,05/06/2014,UQ6934,4,4,5,3,4,6,5,3,5,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YV313128,QM3,20/06/2014,UQ6934,2,5,2,7,7,3,2,6,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YV313128,EV0,23/06/2014,UQ6934,3,3,6,3,3,2,6,3,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YW478641,BT2,05/06/2014,UQ6934,1,7,1,7,5,7,1,7,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YW478641,JP0,25/06/2014,UQ6934,2,6,3,6,4,7,2,6,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YW478641,CQ1,24/06/2014,UQ6934,2,6,2,6,4,5,3,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZU237372,BT2,05/06/2014,UQ6934,5,5,3,7,6,5,4,6,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZU237372,CQ1,23/06/2014,UQ6934,4,4,3,5,3,4,4,3,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
